dataset_name,side_label_name,window_count_mean,window_count_std,free_coeff_l0_mean,free_coeff_l0_std,free_coeff_l1_mean,free_coeff_l1_std,side_coeff_mean,side_coeff_std,free_l0_entropy_mean,free_l0_entropy_std,free_l1_entropy_mean,free_l1_entropy_std,side_entropy_mean,side_entropy_std,basis_usage_b5_mean,basis_usage_b5_std,basis_usage_b6_mean,basis_usage_b6_std,basis_usage_b8_mean,basis_usage_b8_std,basis_usage_b9_mean,basis_usage_b9_std,basis_usage_b10_mean,basis_usage_b10_std,basis_activation_b9_mean,basis_activation_b9_std,basis_activation_b10_mean,basis_activation_b10_std,num_patients
IMR,Left,1.1323529411764706,0.6442492278638452,-0.12548455398748895,0.5282287789322397,0.0202886889341707,0.018091511182131752,23.10328088932689,9.010121894955263,0.1916414992680789,0.0173574699258266,0.50985674027475,0.14658006822217381,0.04964247012697915,0.152525862588769,0.6795297005012924,0.2911776418740191,0.14234171486368366,0.294510264066935,0.005741555292294288,0.021903462082967062,0.008289996860011821,0.027614593436144176,0.9859684504860756,0.049372442924451775,0.023101438102469295,0.09828494150572867,23.067201890723606,9.058379493166763,68
IMR,Normal,1.1830985915492958,1.2107832076202292,-0.17707265680715453,0.807517911403846,0.01385045768172372,0.009815806801505733,-16.593520777695105,6.375100968526204,0.18936725206704455,0.02971845561733925,0.4857342638197689,0.08978305836702859,0.7704868141839674,0.09924138698135318,0.7831511710934592,0.15798257253248527,0.03753426305971948,0.159790734120467,0.03550891508020817,0.056657291983690294,0.3920454172950902,0.060687475072096576,0.5724456665788611,0.07590762109475228,-6.671050519648581,2.4237296322202058,-9.602940889883897,4.173803825032401,71
IMR,Right,1.0348837209302326,0.1845614463981577,-0.09333568698791563,0.5457892397243553,0.015693042730522674,0.013461551783487707,5.048781979918757e-05,0.4889479213511314,0.1924642993134116,0.01987722656980799,0.48311265549253457,0.08583131553395291,1.0850229810493528,0.029006855146823645,0.7534952974596689,0.21665978396278343,0.06752955774928249,0.21913952519462968,0.3409579417040181,0.039909599384225086,0.2805973292263441,0.02399557806517948,0.3784447222254997,0.047257285779580376,-0.011481842344226074,0.11279833633102376,0.024930727113103315,0.30968940521896965,86
TT,Left,4.875,2.295181287579947,-2.575265257220183,0.9974070856668287,0.0458245294479032,0.009648208541171393,3.44420511316922,5.401844627402608,0.10918916328379119,0.03990186019358097,0.9099816623192636,0.18910946744374763,0.5473636406858831,0.20884525865228318,0.26853773033335093,0.1552851269882711,0.5580376209247679,0.15706241544043453,0.05021550645096646,0.019010765495902818,0.13707686328668225,0.1055107379598212,0.8127076220654306,0.12034693455273668,-0.7223206819242074,1.4640031999951884,4.225957341793747,3.752813271028432,8
TT,Normal,4.6923076923076925,2.753459362608873,-2.9172392855551874,1.052123791224704,0.04961887285208852,0.009510936653188685,-12.494971504664193,4.715750426122852,0.09553497147791995,0.04257795623975321,0.8306271078738133,0.23692974955309545,0.7903314611284937,0.11419184883896745,0.20746887026033994,0.15307577563912142,0.6198054338331188,0.15482777735123596,0.047881565174714494,0.026686713690027897,0.33828011221785503,0.07102258447377462,0.613838320666235,0.08780190167466123,-5.032254620446533,1.1747963440668407,-7.127464459731026,3.6679296609411836,26
TT,Right,4.875,2.1671244937540095,-2.5472880884384117,1.0411738829781196,0.04311450640153551,0.009283875514940646,-1.3096737985395723,3.0949741293051436,0.11008673270089554,0.041182159788182425,0.9419844005464874,0.1974669361067265,0.883172504547287,0.06545036949413653,0.312154767745071,0.14942129226674322,0.5139213724268807,0.15113146723587007,0.11264195961498788,0.031941883805885675,0.2663892067428403,0.0542858432349036,0.6209688353041808,0.056427939946581254,-1.4455403465845544,1.1301683642408862,0.387538491220524,2.118307284638807,8
