,Left,Normal,Right
Left,0.8674698795180723,0.04819277108433735,0.08433734939759036
Normal,0.018018018018018018,0.9369369369369369,0.04504504504504504
Right,0.010101010101010102,0.020202020202020204,0.9696969696969697
