point_id,axis_position
10,0.0
109,-0.12213456630706787
67,-0.2275552600622177
103,-0.3314697742462158
54,-0.40547940135002136
151,0.0
108,-0.10457704961299896
69,-0.197849303483963
104,-0.29307666420936584
68,-0.3615972101688385
338,0.12213456630706787
297,0.2275552600622177
332,0.3314697742462158
284,0.40547940135002136
337,0.10457704961299896
299,0.197849303483963
333,0.29307666420936584
298,0.3615972101688385
107,-0.09012120217084885
66,-0.17824216187000275
105,-0.257426917552948
63,-0.32195743918418884
70,-0.36942383646965027
55,-0.07884062826633453
65,-0.170768141746521
52,-0.24118030071258545
53,-0.2963029146194458
46,-0.33922526240348816
336,0.09012120217084885
296,0.17824216187000275
334,0.257426917552948
293,0.32195743918418884
300,0.36942383646965027
285,0.07884062826633453
295,0.170768141746521
282,0.24118030071258545
283,0.2963029146194458
276,0.33922526240348816
189,-0.08486096560955048
221,-0.11335170269012451
222,-0.16999591886997223
223,-0.2187795788049698
224,-0.26318714022636414
225,-0.29851824045181274
113,-0.32213297486305237
226,-0.33395916223526
31,-0.3268722593784332
228,-0.3039371371269226
229,-0.2629253566265106
230,-0.2111440747976303
231,-0.1632145792245865
232,-0.12726783752441406
233,-0.10199687629938126
244,-0.08108159899711609
190,-0.11494112014770508
56,-0.14164161682128906
28,-0.17265726625919342
27,-0.2071671038866043
29,-0.24184082448482513
30,-0.26869216561317444
130,-0.3016209304332733
25,-0.28837427496910095
110,-0.27094021439552307
24,-0.24377532303333282
23,-0.20653001964092255
22,-0.16974084079265594
26,-0.13975606858730316
112,-0.12009971588850021
133,-0.11987660825252533
413,0.08486096560955048
441,0.11335170269012451
442,0.16999591886997223
443,0.2187795788049698
444,0.26318714022636414
445,0.29851824045181274
342,0.32213297486305237
446,0.33395916223526
261,0.3268722593784332
448,0.3039371371269226
449,0.2629253566265106
450,0.2111440747976303
451,0.1632145792245865
452,0.12726783752441406
453,0.10199687629938126
464,0.08108159899711609
414,0.11494112014770508
286,0.14164161682128906
258,0.17265726625919342
257,0.2071671038866043
259,0.24184082448482513
260,0.26869216561317444
359,0.3016209304332733
255,0.28837427496910095
339,0.27094021439552307
254,0.24377532303333282
253,0.20653001964092255
252,0.16974084079265594
256,0.13975606858730316
341,0.12009971588850021
362,0.11987660825252533
155,-0.1290382593870163
173,-0.1290382593870163
157,-0.14777424931526184
158,-0.17590071260929108
159,-0.20516254007816315
160,-0.23699018359184265
161,-0.25948211550712585
246,-0.27463701367378235
33,-0.2870853841304779
7,-0.27463701367378235
163,-0.25948211550712585
144,-0.23699018359184265
145,-0.20516254007816315
153,-0.17590071260929108
154,-0.14777424931526184
382,0.1290382593870163
398,0.1290382593870163
384,0.14777424931526184
385,0.17590071260929108
386,0.20516254007816315
387,0.23699018359184265
388,0.25948211550712585
466,0.27463701367378235
263,0.2870853841304779
249,0.27463701367378235
390,0.25948211550712585
373,0.23699018359184265
374,0.20516254007816315
380,0.17590071260929108
381,0.14777424931526184
470,-0.23441936075687408
471,-0.20432177186012268
472,-0.17422418296337128
469,-0.20432177186012268
468,-0.20432177186012268
475,0.17422418296337128
476,0.20432177186012268
477,0.23441936075687408
474,0.20432177186012268
473,0.20432177186012268
9,0.0
8,0.0
6,0.0
197,0.0
195,0.0
5,0.0
4,0.0
1,0.0
193,-0.04949209839105606
122,-0.036369241774082184
196,-0.03335701301693916
3,-0.02995753102004528
51,-0.03088597021996975
45,-0.0320541076362133
44,-0.02757611870765686
245,-0.06659882515668869
188,-0.061132464557886124
174,-0.05820973590016365
236,-0.057137228548526764
134,-0.05962654575705528
220,-0.05960426852107048
217,-0.08107501268386841
198,-0.08051140606403351
131,-0.08613932877779007
115,-0.08431751281023026
209,-0.09959673881530762
49,-0.10662835836410522
48,-0.10387545078992844
417,0.04949209839105606
351,0.036369241774082184
419,0.03335701301693916
248,0.02995753102004528
281,0.03088597021996975
275,0.0320541076362133
274,0.02757611870765686
465,0.06659882515668869
412,0.061132464557886124
399,0.05820973590016365
456,0.057137228548526764
363,0.05962654575705528
440,0.05960426852107048
437,0.08107501268386841
420,0.08051140606403351
360,0.08613932877779007
344,0.08431751281023026
429,0.09959673881530762
279,0.10662835836410522
278,0.10387545078992844
164,0.0
167,-0.04723518341779709
165,-0.11469683796167374
92,-0.15292656421661377
186,-0.18404527008533478
57,-0.20034895837306976
43,-0.17112743854522705
106,-0.1401042491197586
182,-0.099855937063694
83,-0.04970363900065422
18,0.0
200,0.0
201,-0.06443334370851517
194,-0.12518353760242462
204,-0.17307355999946594
202,-0.21237030625343323
212,-0.2419782280921936
216,-0.22552867233753204
206,-0.19125814735889435
203,-0.14927047491073608
207,-0.2832782566547394
205,-0.24750620126724243
98,-0.09076648205518723
97,-0.03857901692390442
393,0.04723518341779709
391,0.11469683796167374
322,0.15292656421661377
410,0.18404527008533478
287,0.20034895837306976
273,0.17112743854522705
335,0.1401042491197586
406,0.099855937063694
313,0.04970363900065422
421,0.06443334370851517
418,0.12518353760242462
424,0.17307355999946594
422,0.21237030625343323
432,0.2419782280921936
436,0.22552867233753204
426,0.19125814735889435
423,0.14927047491073608
427,0.2832782566547394
425,0.24750620126724243
327,0.09076648205518723
326,0.03857901692390442
0,0.0
37,-0.045941062271595
39,-0.09244462102651596
40,-0.12365274876356125
185,-0.14757271111011505
61,-0.15860621631145477
146,-0.1418115794658661
91,-0.1187266856431961
181,-0.08556559681892395
84,-0.04517612233757973
17,0.0
11,0.0
72,-0.04344050958752632
73,-0.08152812719345093
74,-0.11187729239463806
184,-0.13675422966480255
77,-0.1328180730342865
90,-0.11165128648281097
180,-0.08109276741743088
85,-0.0432441420853138
16,0.0
12,0.0
38,-0.03913377225399017
41,-0.0730355829000473
42,-0.1009640172123909
96,-0.12459862977266312
89,-0.10432521253824234
179,-0.07626949995756149
86,-0.04074255749583244
15,0.0
13,0.0
82,-0.034445010125637054
81,-0.0661453902721405
80,-0.09486722946166992
191,-0.11914551258087158
78,-0.1390325278043747
95,-0.1179511547088623
88,-0.09926070272922516
178,-0.07095476984977722
87,-0.037660520523786545
14,0.0
267,0.045941062271595
269,0.09244462102651596
270,0.12365274876356125
409,0.14757271111011505
291,0.15860621631145477
375,0.1418115794658661
321,0.1187266856431961
405,0.08556559681892395
314,0.04517612233757973
302,0.04344050958752632
303,0.08152812719345093
304,0.11187729239463806
408,0.13675422966480255
307,0.1328180730342865
320,0.11165128648281097
404,0.08109276741743088
315,0.0432441420853138
268,0.03913377225399017
271,0.0730355829000473
272,0.1009640172123909
325,0.12459862977266312
319,0.10432521253824234
403,0.07626949995756149
316,0.04074255749583244
312,0.034445010125637054
311,0.0661453902721405
310,0.09486722946166992
415,0.11914551258087158
308,0.1390325278043747
324,0.1179511547088623
318,0.09926070272922516
402,0.07095476984977722
317,0.037660520523786545
120,-0.1569254845380783
119,-0.21313707530498505
118,-0.28621232509613037
117,-0.33957087993621826
111,-0.37022289633750916
116,-0.4174796938896179
123,-0.4092772305011749
147,-0.4026092290878296
187,-0.34085455536842346
36,-0.18370813131332397
101,-0.21485748887062073
50,-0.30772584676742554
349,0.1569254845380783
348,0.21313707530498505
347,0.28621232509613037
346,0.33957087993621826
340,0.37022289633750916
