,Left,Normal,Right
Left,0.9156626506024096,0.060240963855421686,0.024096385542168676
Normal,0.02702702702702703,0.9459459459459459,0.02702702702702703
Right,0.04040404040404041,0.010101010101010102,0.9494949494949495
