side_label_name,basis_usage_b0,basis_usage_b1,basis_usage_b4,basis_usage_b5,basis_usage_b6,basis_usage_b8,basis_usage_b9,basis_usage_b10
Left,0.9547478774436436,0.04525213386527349,0.1776333854424027,0.6362673878520354,0.18609917865958728,0.010423023835312403,0.021846509115450805,0.9677304685470605
Normal,0.9599789978683025,0.040021008303554,0.1775484288160291,0.6288445749938603,0.1936069480092904,0.03882529551791088,0.3776340984084086,0.5835406047878479
Right,0.9539439525446431,0.04605605955374364,0.1785452015997388,0.7159344013137456,0.10552035048780148,0.3215267942921858,0.2793881273128544,0.39908507227474915
