score,basis_usage_b0,basis_usage_b1,basis_usage_b4,basis_usage_b5,basis_usage_b6,basis_usage_b8,basis_usage_b9,basis_usage_b10
0,0.9599789978683025,0.040021008303554,0.1775484288160291,0.6288445749938603,0.1936069480092904,0.03882529551791088,0.3776340984084086,0.5835406047878479
1,0.957099299434902,0.04290070956487357,0.1779446435724797,0.6634625690729439,0.1585927398026395,0.1457081054115657,0.14600932279687823,0.7082825692454163
2,0.9523461926447021,0.047653821022715384,0.1782726119392448,0.6921177536514072,0.12960958737797207,0.20816101096139608,0.177021660644011,0.6148173255622387
