label_5class,basis_activation_b0,basis_activation_b1,basis_activation_b4,basis_activation_b5,basis_activation_b6,basis_activation_b8,basis_activation_b9,basis_activation_b10
0,-0.21207058646209664,-0.001427626545671642,0.004030404530727018,0.007309953959887481,0.011827908129545657,0.0074685216240286565,0.004120555043524404,26.59979619990356
1,-0.5505215790097072,-0.0026926042306070577,0.003965942179177287,0.00738115481014612,0.011437977092307884,0.0032427120172487125,-0.11484865147578088,15.568029781768942
2,-0.907523372265946,-0.004026916470473044,0.004075757752196905,0.007259859790919191,0.012102248550964948,-0.3237437990746012,-6.231785639450094,-8.939411125100653
3,-0.6977775739845431,-0.0032429809519574186,0.0034146547768614155,0.00799007041496224,0.00810325436759738,-0.08313815802534914,-0.2945089253141001,-0.037889542848764265
4,-0.09533955477174752,-0.0009913384168755404,0.0030368756493686965,0.008407340254501093,0.005818078548089995,-0.008148649219994308,-0.050443154906914096,0.10414219084921826
