point_id,axis_position
164,0.0
167,-0.04723518341779709
165,-0.11469683796167374
92,-0.15292656421661377
186,-0.18404527008533478
57,-0.20034895837306976
43,-0.17112743854522705
106,-0.1401042491197586
182,-0.099855937063694
83,-0.04970363900065422
18,0.0
200,0.0
201,-0.06443334370851517
194,-0.12518353760242462
204,-0.17307355999946594
202,-0.21237030625343323
212,-0.2419782280921936
216,-0.22552867233753204
206,-0.19125814735889435
203,-0.14927047491073608
207,-0.2832782566547394
205,-0.24750620126724243
98,-0.09076648205518723
97,-0.03857901692390442
393,0.04723518341779709
391,0.11469683796167374
322,0.15292656421661377
410,0.18404527008533478
287,0.20034895837306976
273,0.17112743854522705
335,0.1401042491197586
406,0.099855937063694
313,0.04970363900065422
421,0.06443334370851517
418,0.12518353760242462
424,0.17307355999946594
422,0.21237030625343323
432,0.2419782280921936
436,0.22552867233753204
426,0.19125814735889435
423,0.14927047491073608
427,0.2832782566547394
425,0.24750620126724243
327,0.09076648205518723
326,0.03857901692390442
0,0.0
37,-0.045941062271595
39,-0.09244462102651596
40,-0.12365274876356125
185,-0.14757271111011505
61,-0.15860621631145477
146,-0.1418115794658661
91,-0.1187266856431961
181,-0.08556559681892395
84,-0.04517612233757973
17,0.0
11,0.0
72,-0.04344050958752632
73,-0.08152812719345093
74,-0.11187729239463806
184,-0.13675422966480255
77,-0.1328180730342865
90,-0.11165128648281097
180,-0.08109276741743088
85,-0.0432441420853138
16,0.0
12,0.0
38,-0.03913377225399017
41,-0.0730355829000473
42,-0.1009640172123909
96,-0.12459862977266312
89,-0.10432521253824234
179,-0.07626949995756149
86,-0.04074255749583244
15,0.0
13,0.0
82,-0.034445010125637054
81,-0.0661453902721405
80,-0.09486722946166992
191,-0.11914551258087158
78,-0.1390325278043747
95,-0.1179511547088623
88,-0.09926070272922516
178,-0.07095476984977722
87,-0.037660520523786545
14,0.0
267,0.045941062271595
269,0.09244462102651596
270,0.12365274876356125
409,0.14757271111011505
291,0.15860621631145477
375,0.1418115794658661
321,0.1187266856431961
405,0.08556559681892395
314,0.04517612233757973
302,0.04344050958752632
303,0.08152812719345093
304,0.11187729239463806
408,0.13675422966480255
307,0.1328180730342865
320,0.11165128648281097
404,0.08109276741743088
315,0.0432441420853138
268,0.03913377225399017
271,0.0730355829000473
272,0.1009640172123909
325,0.12459862977266312
319,0.10432521253824234
403,0.07626949995756149
316,0.04074255749583244
312,0.034445010125637054
311,0.0661453902721405
310,0.09486722946166992
415,0.11914551258087158
308,0.1390325278043747
324,0.1179511547088623
318,0.09926070272922516
402,0.07095476984977722
317,0.037660520523786545
