dataset_name,dataset_label,subject,group_id,group_frame_idx,window_idx,prev_window_idx,side_label,side_label_name,free_coeff_l0,free_decoded_index_l0,free_argmax_usage_index_l0,free_argmax_usage_global_b_l0,free_coeff_l1,free_decoded_index_l1,free_argmax_usage_index_l1,free_argmax_usage_global_b_l1,side_coeff,side_argmax_usage_index,basis_usage_b0,basis_activation_b0,basis_usage_b1,basis_activation_b1,basis_usage_b2,basis_activation_b2,basis_usage_b3,basis_activation_b3,basis_usage_b4,basis_activation_b4,basis_usage_b5,basis_activation_b5,basis_usage_b6,basis_activation_b6,basis_usage_b7,basis_activation_b7,basis_usage_b8,basis_activation_b8,basis_usage_b9,basis_activation_b9,basis_usage_b10,basis_activation_b10,start_frame,end_frame,side,score,label_5class,matrix_size,deleted_x,deleted_y
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-8.053269386291504,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.1105453222990036,-0.8902512788772583,0.41598641872406006,-3.350050687789917,0.47346827387809753,-3.812967538833618,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-14.691863059997559,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.03217460215091705,-0.47270485758781433,0.402789831161499,-5.917733192443848,0.5650356411933899,-8.30142593383789,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-23.68044090270996,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.006100653205066919,-0.14446616172790527,0.37656205892562866,-8.917155265808105,0.6173372864723206,-14.618819236755371,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-13.373870849609375,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.03939652070403099,-0.5268839597702026,0.40244564414024353,-5.382256031036377,0.5581578016281128,-7.464730262756348,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-16.402727127075195,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.023408733308315277,-0.3839670717716217,0.40814733505249023,-6.694729328155518,0.5684439539909363,-9.324030876159668,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-26.65700912475586,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.003527749562636018,-0.09403925389051437,0.34573304653167725,-9.216209411621094,0.6507391929626465,-17.346759796142578,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-12.738947868347168,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.0447479672729969,-0.5700420141220093,0.42867836356163025,-5.460911273956299,0.526573657989502,-6.70799446105957,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,3,13,12,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-29.152799606323242,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.0021774163469672203,-0.0634777843952179,0.33290520310401917,-9.705119132995605,0.6649173498153687,-19.38420295715332,260,280,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group002,0,15,14,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-12.121718406677246,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.05074605345726013,-0.6151293516159058,0.43504196405410767,-5.27345609664917,0.5142120122909546,-6.233133316040039,300,320,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group002,1,17,16,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-22.597959518432617,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.007645506411790848,-0.1727728396654129,0.3507956862449646,-7.927266597747803,0.6415588855743408,-14.49792194366455,340,360,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group002,2,18,17,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-14.182904243469238,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.03231649473309517,-0.4583417475223541,0.3928479850292206,-5.571725368499756,0.5748355388641357,-8.152837753295898,360,380,-1,0,2,341,0,0
IMR,0,00212,IMR:00212:x:group003,0,13,12,0,Left,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,18.504657745361328,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,3.449225187068805e-05,0.0006382673163898289,0.00025853037368506193,0.004784015938639641,0.9997069239616394,18.499235153198242,260,280,0,2,0,341,0,0
IMR,0,00212,IMR:00212:x:group003,1,14,13,0,Left,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,14.250163078308105,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.00034092465648427606,0.004858232103288174,0.0016498692566528916,0.023510906845331192,0.9980092644691467,14.221795082092285,280,300,0,2,0,341,0,0
IMR,0,00212,IMR:00212:x:group003,2,17,16,0,Left,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,16.384193420410156,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.0001093865284929052,0.0017922100378200412,0.0006534275598824024,0.010705883614718914,0.9992371797561646,16.371694564819336,340,360,0,2,0,341,0,1
IMR,0,00212,IMR:00212:x:group003,3,22,21,0,Left,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-7.464808464050293,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.11013282090425491,-0.8221204280853271,0.381237655878067,-2.8458659648895264,0.5086295008659363,-3.7968218326568604,440,460,0,2,0,341,0,1
IMR,0,00212,IMR:00212:x:group004,0,28,27,0,Left,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-0.06853578984737396,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.34785789251327515,-0.02384071610867977,0.29202571511268616,-0.020014213398098946,0.3601164221763611,-0.024680864065885544,560,580,0,2,0,341,0,0
IMR,0,00212,IMR:00212:x:group004,1,29,28,0,Left,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,0.01833353191614151,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.34688887000083923,0.006359698250889778,0.28715845942497253,0.005264628678560257,0.3659527003765106,0.006709205452352762,580,600,0,2,0,341,0,0
IMR,0,00228,IMR:00228:x:group005,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-15.76719856262207,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.024433214217424393,-0.38524332642555237,0.37405073642730713,-5.897732257843018,0.60151606798172,-9.484223365783691,100,120,-1,0,2,341,0,0
