,Left,Normal,Right
Left,0.8433734939759037,0.04819277108433735,0.10843373493975904
Normal,0.018018018018018018,0.9459459459459459,0.036036036036036036
Right,0.030303030303030304,0.010101010101010102,0.9595959595959596
