,Left,Normal,Right
Left,0.927710843373494,0.060240963855421686,0.012048192771084338
Normal,0.02702702702702703,0.9279279279279279,0.04504504504504504
Right,0.06060606060606061,0.010101010101010102,0.9292929292929293
