task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
side_from_side_rep,0,234,59,0.8983050847457628,0.8957219251336898,0.8963178294573643
side_from_side_rep,1,235,58,0.9482758620689655,0.9515873015873014,0.9494192799070849
side_from_side_rep,2,235,58,0.9482758620689655,0.9473484848484848,0.945278365045807
side_from_side_rep,3,234,59,0.9322033898305084,0.9215686274509803,0.9266003837432408
side_from_side_rep,4,234,59,0.9322033898305084,0.9271739130434783,0.9315389924085576
side_from_free_rep,0,234,59,0.5084745762711864,0.478698752228164,0.4271837875611461
side_from_free_rep,1,235,58,0.3448275862068966,0.3253968253968254,0.2788671023965142
side_from_free_rep,2,235,58,0.5172413793103449,0.4727272727272727,0.3961352657004831
side_from_free_rep,3,234,59,0.4915254237288136,0.45690312738367655,0.38015873015873014
side_from_free_rep,4,234,59,0.4915254237288136,0.44855072463768114,0.37808641975308643
dataset_from_side_rep,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_side_rep,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_side_rep,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_side_rep,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_side_rep,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_free_rep,0,234,59,0.7627118644067796,0.5719063545150501,0.5785714285714286
dataset_from_free_rep,1,235,58,0.8103448275862069,0.7410256410256411,0.7344985434873076
dataset_from_free_rep,2,235,58,0.8275862068965517,0.7247863247863248,0.7373188405797102
dataset_from_free_rep,3,234,59,0.7796610169491526,0.6931438127090301,0.6878306878306879
dataset_from_free_rep,4,234,59,0.847457627118644,0.7366220735785953,0.7569794050343249
dataset_from_private_rep,0,234,59,0.847457627118644,0.7918060200668896,0.7838827838827839
dataset_from_private_rep,1,235,58,0.8620689655172413,0.8017094017094017,0.8017094017094017
dataset_from_private_rep,2,235,58,0.9482758620689655,0.8846153846153846,0.9186535764375877
dataset_from_private_rep,3,234,59,0.8813559322033898,0.7859531772575251,0.8109839816933639
dataset_from_private_rep,4,234,59,0.9152542372881356,0.8628762541806021,0.8731182795698924
side_from_usage,0,234,59,0.9152542372881356,0.9153297682709448,0.9150642639014732
side_from_usage,1,235,58,0.9482758620689655,0.9507936507936509,0.9472990320230371
side_from_usage,2,235,58,0.9310344827586207,0.9363636363636364,0.9314953172682312
side_from_usage,3,234,59,0.9322033898305084,0.9215686274509803,0.9266003837432408
side_from_usage,4,234,59,0.9152542372881356,0.9210144927536232,0.9154348919054801
side_from_coeff,0,234,59,0.8983050847457628,0.8957219251336898,0.89867921525836
side_from_coeff,1,235,58,0.9310344827586207,0.9290382819794584,0.9321969696969697
side_from_coeff,2,235,58,0.9482758620689655,0.9488636363636364,0.9474206349206349
side_from_coeff,3,234,59,0.9322033898305084,0.9215686274509803,0.9240731130715562
side_from_coeff,4,234,59,0.9322033898305084,0.9293478260869565,0.9323232323232323
side_from_usage_coeff,0,234,59,0.9152542372881356,0.9153297682709448,0.9150642639014732
side_from_usage_coeff,1,235,58,0.9482758620689655,0.9507936507936509,0.9472990320230371
side_from_usage_coeff,2,235,58,0.9310344827586207,0.9363636363636364,0.9299145299145298
side_from_usage_coeff,3,234,59,0.9322033898305084,0.9215686274509803,0.9266003837432408
side_from_usage_coeff,4,234,59,0.9152542372881356,0.9210144927536232,0.9154348919054801
dataset_from_usage,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,1,235,58,0.7931034482758621,0.5384615384615384,0.5126050420168067
dataset_from_coeff,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,1,235,58,0.7413793103448276,0.5324786324786325,0.5279435702658708
dataset_from_usage_coeff,2,235,58,0.7586206896551724,0.5162393162393163,0.4925
dataset_from_usage_coeff,3,234,59,0.6949152542372882,0.44565217391304346,0.41000000000000003
dataset_from_usage_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
