,Left,Normal,Right
Left,0.927710843373494,0.060240963855421686,0.012048192771084338
Normal,0.02702702702702703,0.9279279279279279,0.04504504504504504
Right,0.050505050505050504,0.020202020202020204,0.9292929292929293
