task_name,accuracy,balanced_accuracy,macro_f1,num_features,num_groups
dataset_from_level2_rep,0.8771331058020477,0.7505735492577599,0.789578678582828,6,293
dataset_from_level2_usage,0.8771331058020477,0.7505735492577599,0.789578678582828,6,293
severity_from_free_rep,0.6518771331058021,0.5616275616275617,0.530448717948718,32,293
severity_from_level2_coeff,0.621160409556314,0.5,0.38315789473684214,1,293
severity_from_level2_rep,0.6621160409556314,0.5698693198693199,0.5377002151565862,6,293
severity_from_level2_usage,0.6621160409556314,0.5698693198693199,0.5377002151565862,6,293
severity_from_level2_usage_coeff,0.6621160409556314,0.5698693198693199,0.5377002151565862,7,293
side_from_level2_rep,0.4197952218430034,0.38065338065338067,0.3062921775496626,6,293
side_from_level2_usage,0.4197952218430034,0.38065338065338067,0.3062921775496626,6,293
