group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-13.177305221557617,13.177305221557617,0.03540439158678055,0.030894411727786064,-0.40710508823394775,0.596854031085968,-7.864927768707275,0.3722515404224396,-4.905272006988525
IMR:00241:x:group001,00241,IMR,0,1,Normal,-1.0338279008865356,1.0338279008865356,0.0029198373667895794,0.27825602889060974,-0.2876688539981842,0.336376428604126,-0.3477553427219391,0.3853675425052643,-0.39840370416641235
IMR:00242:x:group002,00242,IMR,0,1,Normal,-1.5414767265319824,1.5414767265319824,0.019185394048690796,0.09558369219303131,-0.30517563223838806,0.2838350534439087,-1.3141720294952393,0.6205812692642212,0.07787072658538818
IMR:00244:x:group003,00244,IMR,0,1,Normal,-13.919677734375,13.919677734375,0.03954394534230232,0.03809462860226631,-0.5302649736404419,0.5616186857223511,-7.817551136016846,0.4002866744995117,-5.571861743927002
IMR:00245:x:group004,00245,IMR,0,1,Normal,-17.03728485107422,17.03728485107422,0.048545707017183304,0.02384348399937153,-0.4062282145023346,0.5751046538352966,-9.798221588134766,0.4010518193244934,-6.832834243774414
IMR:00251:x:group005,00251,IMR,0,1,Normal,-6.323489665985107,6.323489665985107,0.018272437155246735,0.13114358484745026,-0.8292850852012634,0.4614253044128418,-2.917818069458008,0.407431036233902,-2.576385974884033
IMR:00256:x:group006,00256,IMR,0,1,Normal,-13.415079116821289,13.415079116821289,0.03740329667925835,0.03797987475991249,-0.5095030069351196,0.5712094306945801,-7.662819862365723,0.39081066846847534,-5.242755889892578
IMR:00271:x:group007,00271,IMR,0,1,Normal,-13.66789722442627,13.66789722442627,0.036897145211696625,0.03007977083325386,-0.4111272096633911,0.5954158306121826,-8.138082504272461,0.3745043873786926,-5.118687629699707
IMR:00281:x:group008,00281,IMR,0,2,Right,-0.0831170529127121,0.0831170529127121,0.0002304982190253213,0.33043888211250305,-0.027465106919407845,0.2973933815956116,-0.02471846155822277,0.372167706489563,-0.030933482572436333
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.016547588631510735,0.016547588631510735,4.5621087338076904e-05,0.31813666224479675,-0.005264394450932741,0.31175094842910767,-0.005158726591616869,0.3701123595237732,-0.006124467123299837
IMR:00299:x:group010,00299,IMR,0,2,Right,-0.1274862140417099,0.1274862140417099,0.0003469745861366391,0.3342292606830597,-0.042609624564647675,0.30330538749694824,-0.03866725414991379,0.36246535181999207,-0.04620933532714844
