dataset_name,dataset_label,subject,group_id,group_frame_idx,window_idx,prev_window_idx,side_label,side_label_name,basis_global_index,basis_name,branch,level_index,level_name,local_basis_index,raw_coeff_column,usage,raw_coeff,activation,decoded_index_local,decoded_index_global,argmax_usage_index_local,argmax_usage_index_global,is_decoded_basis,is_argmax_usage_basis,start_frame,end_frame,side,score,label_5class,matrix_size,deleted_x,deleted_y
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.9800705909729004,0.08331374824047089,0.0,2.0,0,2,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.9800705909729004,0.0,0.0,2.0,0,2,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.9800705909729004,-0.11049863696098328,0.0,2.0,0,2,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.08988485485315323,0.9800705909729004,0.5735252499580383,0.0,2.0,0,2,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.24344848096370697,0.9800705909729004,1.5533634424209595,0.0,2.0,0,2,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,8,side_b0,side,,side,0,side_coeff,0.43022608757019043,8.799772262573242,10.105600357055664,,,0,8,,1,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,9,side_b1,side,,side,1,side_coeff,0.3608807325363159,8.799772262573242,16.94031524658203,,,0,8,,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,10,side_b2,side,,side,2,side_coeff,0.20889316499233246,8.799772262573242,-0.646598219871521,,,0,8,,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.8571876883506775,0.8405078053474426,4.0,6.0,4,6,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.8571876883506775,0.08331374824047089,4.0,6.0,4,6,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.8571876883506775,0.0,4.0,6.0,4,6,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.8571876883506775,-0.11049863696098328,4.0,6.0,4,6,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.3161512613296509,0.8571876883506775,1.6676093339920044,4.0,6.0,4,6,1.0,1,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.01718207634985447,0.8571876883506775,0.09063064306974411,4.0,6.0,4,6,0.0,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,8,side_b0,side,,side,0,side_coeff,0.3800131380558014,-0.37762150168418884,-0.10931849479675293,,,0,8,,1,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,9,side_b1,side,,side,1,side_coeff,0.329593300819397,-0.37762150168418884,1.561109185218811,,,0,8,,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,3,6,5,1,Normal,10,side_b2,side,,side,2,side_coeff,0.29039356112480164,-0.37762150168418884,-2.584655284881592,,,0,8,,0,120,140,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.8571876883506775,0.8405078053474426,4.0,6.0,4,6,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.8571876883506775,0.08331374824047089,4.0,6.0,4,6,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.8571876883506775,0.0,4.0,6.0,4,6,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.8571876883506775,-0.11049863696098328,4.0,6.0,4,6,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.3161512613296509,0.8571876883506775,1.6676093339920044,4.0,6.0,4,6,1.0,1,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.01718207634985447,0.8571876883506775,0.09063064306974411,4.0,6.0,4,6,0.0,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,8,side_b0,side,,side,0,side_coeff,0.515840470790863,5.613492488861084,10.320631980895996,,,0,8,,1,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,9,side_b1,side,,side,1,side_coeff,0.3705906867980957,5.613492488861084,6.553351402282715,,,0,8,,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,0,7,6,1,Normal,10,side_b2,side,,side,2,side_coeff,0.11356881260871887,5.613492488861084,-0.033506471663713455,,,0,8,,0,140,160,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.9800705909729004,0.8405078053474426,0.0,2.0,0,2,1.0,1,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.9800705909729004,0.08331374824047089,0.0,2.0,0,2,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.9800705909729004,0.0,0.0,2.0,0,2,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.9800705909729004,-0.11049863696098328,0.0,2.0,0,2,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.08988485485315323,0.9800705909729004,0.5735252499580383,0.0,2.0,0,2,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.24344848096370697,0.9800705909729004,1.5533634424209595,0.0,2.0,0,2,0.0,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,8,side_b0,side,,side,0,side_coeff,0.2881995439529419,3.1603667736053467,8.178516387939453,,,2,10,,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,9,side_b1,side,,side,1,side_coeff,0.3235154449939728,3.1603667736053467,18.11971092224121,,,2,10,,0,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,1,9,8,1,Normal,10,side_b2,side,,side,2,side_coeff,0.3882850110530853,3.1603667736053467,-16.817129135131836,,,2,10,,1,180,200,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.8571876883506775,0.8405078053474426,4.0,6.0,4,6,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.8571876883506775,0.08331374824047089,4.0,6.0,4,6,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.8571876883506775,0.0,4.0,6.0,4,6,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.8571876883506775,-0.11049863696098328,4.0,6.0,4,6,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.3161512613296509,0.8571876883506775,1.6676093339920044,4.0,6.0,4,6,1.0,1,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.01718207634985447,0.8571876883506775,0.09063064306974411,4.0,6.0,4,6,0.0,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,8,side_b0,side,,side,0,side_coeff,0.5101673603057861,4.690834045410156,8.67430591583252,,,0,8,,1,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,9,side_b1,side,,side,1,side_coeff,0.3734852969646454,4.690834045410156,5.381809234619141,,,0,8,,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,2,11,10,1,Normal,10,side_b2,side,,side,2,side_coeff,0.11634736508131027,4.690834045410156,0.016386546194553375,,,0,8,,0,220,240,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,3,13,12,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,260,280,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group001,3,13,12,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,260,280,-1,0,2,341,0,0
