group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-13.51099681854248,13.51099681854248,0.028575357049703598,0.02369116060435772,-0.320091187953949,0.7157086730003357,-9.669937133789062,0.26060014963150024,-3.520967721939087
IMR:00241:x:group001,00241,IMR,0,1,Normal,-3.6383888721466064,3.6383888721466064,0.010149069130420685,0.18731383979320526,-0.6815205812454224,0.4340756833553314,-1.579336166381836,0.3786105513572693,-1.3775323629379272
IMR:00242:x:group002,00242,IMR,0,1,Normal,-3.5206234455108643,3.5206234455108643,0.0265030637383461,0.05309402942657471,-0.16059575974941254,0.34366509318351746,-3.095747470855713,0.6032409071922302,-0.26428043842315674
IMR:00244:x:group003,00244,IMR,0,1,Normal,-14.139727592468262,14.139727592468262,0.034277793020009995,0.02768315002322197,-0.3914321959018707,0.6552207469940186,-9.264642715454102,0.3170960545539856,-4.483651638031006
IMR:00245:x:group004,00245,IMR,0,1,Normal,-21.332481384277344,21.332481384277344,0.047198276966810226,0.007146457210183144,-0.15245166420936584,0.7158026099205017,-15.269845962524414,0.27705103158950806,-5.910185813903809
IMR:00251:x:group005,00251,IMR,0,1,Normal,-9.352442741394043,9.352442741394043,0.024258360266685486,0.06873327493667603,-0.6428239941596985,0.5826837420463562,-5.449516296386719,0.3485829532146454,-3.2601020336151123
IMR:00256:x:group006,00256,IMR,0,1,Normal,-14.689055442810059,14.689055442810059,0.0316159650683403,0.020612506195902824,-0.3027782440185547,0.7121573090553284,-10.460918426513672,0.26723015308380127,-3.925358533859253
IMR:00271:x:group007,00271,IMR,0,1,Normal,-11.132681846618652,11.132681846618652,0.024544835090637207,0.03610585629940033,-0.4019550085067749,0.6863158345222473,-7.640535831451416,0.2775782644748688,-3.0901904106140137
IMR:00281:x:group008,00281,IMR,0,2,Right,0.014521732926368713,0.014521732926368713,4.062317020725459e-05,0.31961381435394287,0.004641346633434296,0.31032806634902954,0.004506501369178295,0.3700580596923828,0.005373884458094835
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.047770630568265915,0.047770630568265915,0.00013128147111274302,0.3226192891597748,-0.015411727130413055,0.3165852129459381,-0.015123475342988968,0.3607954978942871,-0.01723542809486389
IMR:00299:x:group010,00299,IMR,0,2,Right,-0.3260580599308014,0.3260580599308014,0.0008964258595369756,0.3244917392730713,-0.10580314695835114,0.31465643644332886,-0.10259626805782318,0.36085185408592224,-0.11765865236520767
IMR:00301:x:group011,00301,IMR,0,0,Left,21.298891067504883,21.298891067504883,0.13544903695583344,2.601098003651714e-06,5.540050187846646e-05,2.8593571187229827e-05,0.0006090113311074674,0.9999687671661377,21.29822540283203
IMR:00305:x:group012,00305,IMR,0,0,Left,20.083873748779297,20.083873748779297,0.12771908938884735,5.482981123350328e-06,0.00011011950118700042,5.031104228692129e-05,0.0010104406392201781,0.9999442100524902,20.082754135131836
IMR:00310:x:group014,00310,IMR,0,0,Left,23.96046257019043,23.96046257019043,0.15237866342067719,4.771441695083922e-07,1.1432594874349888e-05,7.577121778012952e-06,0.00018155133875552565,0.9999918937683105,23.960268020629883
IMR:00312:x:group015,00312,IMR,0,0,Left,23.791337966918945,23.791337966918945,0.15130281448364258,6.092381568123528e-07,1.4494590686808806e-05,9.390877494297456e-06,0.00022342153533827513,0.9999899864196777,23.791099548339844
IMR:00321:x:group016,00321,IMR,0,0,Left,26.5175838470459,26.5175838470459,0.1686418652534485,1.0633192459863494e-07,2.819665724018705e-06,2.293468014613609e-06,6.0817230405518785e-05,0.999997615814209,26.517520904541016
IMR:00323:x:group017,00323,IMR,0,0,Left,19.85048484802246,19.85048484802246,0.1262342780828476,5.896426046092529e-06,0.00011704691860359162,5.490250623552129e-05,0.0010898413602262735,0.9999392032623291,19.84927749633789
IMR:00327:x:group018,00327,IMR,0,2,Right,0.21430134773254395,0.21430134773254395,0.0007208138704299927,0.21987120807170868,0.04711869731545448,0.29924190044403076,0.06412794440984726,0.4808869957923889,0.10305473208427429
IMR:00330:x:group019,00330,IMR,0,2,Right,-0.06534286588430405,0.06534286588430405,0.00018074241233989596,0.32921168208122253,-0.021511634811758995,0.3072373867034912,-0.02007577195763588,0.3635510206222534,-0.02375546470284462
IMR:00337:x:group020,00337,IMR,0,2,Right,-0.05829111486673355,0.05829111486673355,0.00015980773605406284,0.32771533727645874,-0.01910289190709591,0.3131071627140045,-0.018251365050673485,0.35917744040489197,-0.02093685418367386
IMR:00338:x:group021,00338,IMR,0,2,Right,-0.052868254482746124,0.052868254482746124,0.00014591407671105117,0.3232370913028717,-0.017088981345295906,0.31385523080825806,-0.016592977568507195,0.36290767788887024,-0.019186295568943024
IMR:00341:x:group022,00341,IMR,0,2,Right,-0.6253937482833862,0.6253937482833862,0.001847999170422554,0.26559609174728394,-0.16610214114189148,0.33127203583717346,-0.20717546343803406,0.403131902217865,-0.2521161735057831
IMR:00343:x:group023,00343,IMR,0,2,Right,-0.11857282370328903,0.11857282370328903,0.0003238773497287184,0.3338473439216614,-0.03958522155880928,0.30931153893470764,-0.036675941199064255,0.35684114694595337,-0.0423116609454155
IMR:00344:x:group024,00344,IMR,0,2,Right,-0.021733399480581284,0.021733399480581284,6.152262358227745e-05,0.31046777963638306,-0.006747520063072443,0.3126351535320282,-0.006794624496251345,0.37689706683158875,-0.008191254921257496
IMR:00345:x:group025,00345,IMR,0,2,Right,-0.9955880641937256,0.9955880641937256,0.0028666669968515635,0.24840772151947021,-0.2473117560148239,0.36095818877220154,-0.35936567187309265,0.39063408970832825,-0.3889106512069702
