group_id,subject,dataset_name,side_label,side_label_name,label_5class,dataset_label,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00102:x:group000,00102,IMR,1,Normal,2,0,-8.991925239562988,8.991925239562988,0.03268583118915558,0.106981560587883,-0.690740168094635,0.4066619277000427,-3.621251344680786,0.4863565266132355,-4.679933547973633
IMR:00102:x:group001,00102,IMR,1,Normal,2,0,-12.47996997833252,12.47996997833252,0.04934496432542801,0.08273735642433167,-0.5231330990791321,0.3929252028465271,-4.7769951820373535,0.5243374705314636,-7.179841995239258
IMR:00102:x:group002,00102,IMR,1,Normal,2,0,-11.795551300048828,11.795551300048828,0.0477728508412838,0.08493577688932419,-0.42153415083885193,0.37167027592658997,-4.388779640197754,0.5433939099311829,-6.985238552093506
IMR:00212:x:group003,00212,IMR,0,Left,0,0,6.515549659729004,6.515549659729004,0.05447305366396904,0.041066739708185196,-0.17905567586421967,0.10196700692176819,-0.43081995844841003,0.8569662570953369,7.125425338745117
IMR:00212:x:group004,00212,IMR,0,Left,0,0,-1.0961172580718994,1.0961172580718994,0.003057274501770735,0.2997554540634155,-0.3205530643463135,0.33212709426879883,-0.3661084473133087,0.36811748147010803,-0.4094558358192444
IMR:00228:x:group005,00228,IMR,1,Normal,2,0,-15.701051712036133,15.701051712036133,0.06452745199203491,0.025676563382148743,-0.4031490385532379,0.3717016577720642,-5.836106777191162,0.6026217937469482,-9.461795806884766
IMR:00229:x:group006,00229,IMR,1,Normal,2,0,-6.912961006164551,6.912961006164551,0.02213846519589424,0.11637923121452332,-0.8045250773429871,0.43774476647377014,-3.0261125564575195,0.44587603211402893,-3.0823235511779785
IMR:00230:x:group007,00230,IMR,1,Normal,2,0,-12.79801082611084,12.79801082611084,0.050356753170490265,0.04484112188220024,-0.5738771557807922,0.38245758414268494,-4.894696235656738,0.5727012753486633,-7.329437255859375
IMR:00231:x:group008,00231,IMR,1,Normal,2,0,-12.626496315002441,12.626496315002441,0.04873952642083168,0.04639318212866783,-0.5857833623886108,0.3937983512878418,-4.972293376922607,0.5598083734512329,-7.068418502807617
IMR:00232:x:group009,00232,IMR,1,Normal,2,0,-17.343564987182617,17.343564987182617,0.07209968566894531,0.019500408321619034,-0.33820658922195435,0.3699023723602295,-6.415425777435303,0.6105971932411194,-10.589932441711426
IMR:00233:x:group010,00233,IMR,1,Normal,2,0,-16.93260383605957,16.93260383605957,0.07078616321086884,0.02189970389008522,-0.37081900238990784,0.36340245604515076,-6.153349876403809,0.6146978139877319,-10.408434867858887
IMR:00234:x:group011,00234,IMR,1,Normal,2,0,-13.23605728149414,13.23605728149414,0.05246927589178085,0.042138610035181046,-0.5577490329742432,0.38009965419769287,-5.031020641326904,0.5777617692947388,-7.647287845611572
IMR:00235:x:group000,00235,IMR,1,Normal,2,0,-12.377561569213867,12.377561569213867,0.04326349124312401,0.04472115635871887,-0.5535388588905334,0.4585883915424347,-5.676206111907959,0.49669045209884644,-6.1478166580200195
IMR:00236:x:group012,00236,IMR,1,Normal,2,0,-13.38416576385498,13.38416576385498,0.0525638721883297,0.041005752980709076,-0.5488277673721313,0.38760170340538025,-5.18772554397583,0.5713925957679749,-7.647613048553467
IMR:00237:x:group013,00237,IMR,1,Normal,2,0,-16.980974197387695,16.980974197387695,0.07031895965337753,0.021830134093761444,-0.37069693207740784,0.370273619890213,-6.287606716156006,0.6078962087631226,-10.322669982910156
IMR:00238:x:group014,00238,IMR,1,Normal,2,0,-17.42704200744629,17.42704200744629,0.0701688900589943,0.01882399059832096,-0.3280464708805084,0.39314723014831543,-6.851393222808838,0.5880287885665894,-10.247602462768555
IMR:00239:x:group015,00239,IMR,1,Normal,2,0,-14.422943115234375,14.422943115234375,0.05440958961844444,0.03272153437137604,-0.471940815448761,0.42274898290634155,-6.097284317016602,0.5445294976234436,-7.853717803955078
IMR:00240:x:group016,00240,IMR,1,Normal,2,0,-18.576148986816406,18.576148986816406,0.0786396786570549,0.015063973143696785,-0.27983060479164124,0.36135944724082947,-6.712666988372803,0.6235765218734741,-11.583650588989258
IMR:00241:x:group001,00241,IMR,1,Normal,2,0,-5.583541393280029,5.583541393280029,0.0187614094465971,0.15040741860866547,-0.8398060202598572,0.37652161717414856,-2.1023240089416504,0.47307103872299194,-2.641411781311035
IMR:00242:x:group002,00242,IMR,1,Normal,2,0,-3.774628162384033,3.774628162384033,0.03319787606596947,0.06710334122180939,-0.15864406526088715,0.2525002956390381,-1.9676856994628906,0.680396318435669,-1.6482986211776733
IMR:00243:x:group017,00243,IMR,1,Normal,2,0,-14.725054740905762,14.725054740905762,0.059623319655656815,0.031517159193754196,-0.4640918970108032,0.37614962458610535,-5.53882360458374,0.5923332571983337,-8.722139358520508
IMR:00244:x:group003,00244,IMR,1,Normal,2,0,-10.173230171203613,10.173230171203613,0.03667725995182991,0.06919389963150024,-0.7039254903793335,0.4149763286113739,-4.221649646759033,0.5158298015594482,-5.247655391693115
IMR:00245:x:group004,00245,IMR,1,Normal,2,0,-18.361406326293945,18.361406326293945,0.07694975286722183,0.016179684549570084,-0.29708176851272583,0.36753061413764954,-6.748378753662109,0.6162897348403931,-11.315946578979492
IMR:00246:x:group018,00246,IMR,1,Normal,2,0,-14.396832466125488,14.396832466125488,0.058271363377571106,0.03269266337156296,-0.47067078948020935,0.37523341178894043,-5.402172565460205,0.592073917388916,-8.523988723754883
IMR:00247:x:group019,00247,IMR,1,Normal,2,0,-12.712236404418945,12.712236404418945,0.04913406819105148,0.045099273324012756,-0.5733126401901245,0.39423686265945435,-5.011631965637207,0.5606639385223389,-7.127292633056641
IMR:00248:x:group020,00248,IMR,1,Normal,2,0,-14.561114311218262,14.561114311218262,0.05609450116753578,0.03167281672358513,-0.4611915051937103,0.40999460220336914,-5.969978332519531,0.558332622051239,-8.129944801330566
IMR:00249:x:group021,00249,IMR,1,Normal,2,0,-19.681623458862305,19.681623458862305,0.0837683379650116,0.012208930216729641,-0.240291565656662,0.36040064692497253,-7.0932698249816895,0.627390444278717,-12.348062515258789
IMR:00250:x:group022,00250,IMR,1,Normal,2,0,-18.146774291992188,18.146774291992188,0.07460153102874756,0.016495006158947945,-0.2993311583995819,0.38096898794174194,-6.913358211517334,0.6025359630584717,-10.934083938598633
IMR:00251:x:group005,00251,IMR,1,Normal,2,0,-10.02865219116211,10.02865219116211,0.0371314138174057,0.07410770654678345,-0.743200421333313,0.3932396173477173,-3.9436633586883545,0.5326526761054993,-5.341788291931152
IMR:00252:x:group023,00252,IMR,1,Normal,2,0,-9.954814910888672,9.954814910888672,0.03643729165196419,0.07393649220466614,-0.7360240817070007,0.4007284641265869,-3.989177703857422,0.5253350734710693,-5.229613304138184
IMR:00253:x:group024,00253,IMR,0,Left,1,0,10.20694351196289,10.20694351196289,0.06503244489431381,0.0035660008434206247,0.036397967487573624,0.010401231236755848,0.10616478323936462,0.9860327839851379,10.064380645751953
