,Left,Normal,Right
Left,0.03614457831325301,0.5060240963855421,0.4578313253012048
Normal,0.018018018018018018,0.7387387387387387,0.24324324324324326
Right,0.030303030303030304,0.3939393939393939,0.5757575757575758
