point_id,axis_position
10,0.46768781542778015
109,0.46624988317489624
67,0.45320719480514526
103,0.42374956607818604
54,0.3744901716709137
151,0.3705254793167114
108,0.37357252836227417
69,0.37170031666755676
104,0.3577612042427063
68,0.32354483008384705
338,0.46624988317489624
297,0.45320719480514526
332,0.42374956607818604
284,0.3744901716709137
337,0.37357252836227417
299,0.37170031666755676
333,0.3577612042427063
298,0.32354483008384705
107,0.2837202847003937
66,0.28875893354415894
105,0.2892409861087799
63,0.27186068892478943
70,0.24084609746932983
55,0.23448224365711212
65,0.25613439083099365
52,0.2552046775817871
53,0.24353234469890594
46,0.21973098814487457
336,0.2837202847003937
296,0.28875893354415894
334,0.2892409861087799
293,0.27186068892478943
300,0.24084609746932983
285,0.23448224365711212
295,0.25613439083099365
282,0.2552046775817871
283,0.24353234469890594
276,0.21973098814487457
189,0.1757647693157196
221,0.19977843761444092
222,0.21023467183113098
223,0.21069590747356415
224,0.20806004106998444
225,0.1966974437236786
113,0.1740519106388092
226,0.143545463681221
31,0.10950472205877304
228,0.09346082806587219
229,0.08360078930854797
230,0.0832519680261612
231,0.09155374020338058
232,0.1052073985338211
233,0.11876153200864792
244,0.13966161012649536
190,0.16190063953399658
56,0.1755046546459198
28,0.18144969642162323
27,0.18250198662281036
29,0.17918246984481812
30,0.17316965758800507
130,0.1508314460515976
25,0.13715985417366028
110,0.12653185427188873
24,0.11544772237539291
23,0.11241424083709717
22,0.11524936556816101
26,0.12396533787250519
112,0.13335613906383514
133,0.14634713530540466
413,0.1757647693157196
441,0.19977843761444092
442,0.21023467183113098
443,0.21069590747356415
444,0.20806004106998444
445,0.1966974437236786
342,0.1740519106388092
446,0.143545463681221
261,0.10950472205877304
448,0.09346082806587219
449,0.08360078930854797
450,0.0832519680261612
451,0.09155374020338058
452,0.1052073985338211
453,0.11876153200864792
464,0.13966161012649536
414,0.16190063953399658
286,0.1755046546459198
258,0.18144969642162323
257,0.18250198662281036
259,0.17918246984481812
260,0.17316965758800507
359,0.1508314460515976
255,0.13715985417366028
339,0.12653185427188873
254,0.11544772237539291
253,0.11241424083709717
252,0.11524936556816101
256,0.12396533787250519
341,0.13335613906383514
362,0.14634713530540466
155,0.14132606983184814
173,0.15532487630844116
157,0.16340099275112152
158,0.16766397655010223
159,0.16779562830924988
160,0.16573384404182434
161,0.16175103187561035
246,0.15693584084510803
33,0.15080484747886658
7,0.14591696858406067
163,0.14059853553771973
144,0.1336049884557724
145,0.12987516820430756
153,0.13109435141086578
154,0.1357979029417038
382,0.14132606983184814
398,0.15532487630844116
384,0.16340099275112152
385,0.16766397655010223
386,0.16779562830924988
387,0.16573384404182434
388,0.16175103187561035
466,0.15693584084510803
263,0.15080484747886658
249,0.14591696858406067
390,0.14059853553771973
373,0.1336049884557724
374,0.12987516820430756
380,0.13109435141086578
381,0.1357979029417038
470,0.14950807392597198
471,0.13657115399837494
472,0.14790330827236176
469,0.16084024310112
468,0.14870569109916687
475,0.14790330827236176
476,0.13657115399837494
477,0.14950807392597198
474,0.16084024310112
473,0.14870569109916687
9,0.2765885293483734
8,0.2275124043226242
6,0.14000754058361053
197,0.0978405773639679
195,0.05997190251946449
5,0.020700016990303993
4,-0.026219412684440613
1,-0.06379026919603348
193,0.180136039853096
122,0.1306353062391281
196,0.08964382112026215
3,0.05408143997192383
51,0.016742903739213943
45,-0.026926398277282715
44,-0.06193741038441658
245,0.13487926125526428
188,0.10798818618059158
174,0.07002440840005875
236,0.03729035705327988
134,0.004136731382459402
220,-0.029948335140943527
217,0.04541941359639168
198,0.013036794029176235
131,-0.01606331765651703
115,-0.03808508813381195
209,-0.007746492512524128
