group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-11.879844665527344,11.879844665527344,0.03868219628930092,0.045865923166275024,-0.5448800325393677,0.49884989857673645,-5.926259517669678,0.4552841782569885,-5.408705234527588
IMR:00241:x:group001,00241,IMR,0,1,Normal,-0.9080607891082764,0.9080607891082764,0.0025928961113095284,0.3007018566131592,-0.2730555534362793,0.31430843472480774,-0.28541117906570435,0.3849896788597107,-0.34959402680397034
IMR:00242:x:group002,00242,IMR,0,1,Normal,-1.3305563926696777,1.3305563926696777,0.03726503252983093,0.04893646016716957,-0.2741268277168274,0.2224830687046051,-1.6998547315597534,0.7285805344581604,0.6434249877929688
IMR:00244:x:group003,00244,IMR,0,1,Normal,-14.664355278015137,14.664355278015137,0.05661335214972496,0.030120760202407837,-0.4417015314102173,0.41013872623443604,-6.014420032501221,0.5597404837608337,-8.208232879638672
IMR:00245:x:group004,00245,IMR,0,1,Normal,-21.383176803588867,21.383176803588867,0.09067495912313461,0.00906266551464796,-0.1937885731458664,0.36640238761901855,-7.8348469734191895,0.6245349049568176,-13.35453987121582
IMR:00251:x:group005,00251,IMR,0,1,Normal,-9.353472709655762,9.353472709655762,0.03303048759698868,0.08120251446962357,-0.7595254778862,0.415812224149704,-3.8892881870269775,0.5029852390289307,-4.704658508300781
IMR:00256:x:group006,00256,IMR,0,1,Normal,-19.517839431762695,19.517839431762695,0.07778213918209076,0.012836483307182789,-0.2505404055118561,0.40648138523101807,-7.933638572692871,0.580682098865509,-11.333660125732422
IMR:00271:x:group007,00271,IMR,0,1,Normal,-19.200895309448242,19.200895309448242,0.07399222254753113,0.013399308547377586,-0.257278710603714,0.42860302329063416,-8.229561805725098,0.5579977035522461,-10.714055061340332
IMR:00281:x:group008,00281,IMR,0,2,Right,-0.06843318045139313,0.06843318045139313,0.00018902099691331387,0.3694117069244385,-0.025280017405748367,0.26209449768066406,-0.01793595962226391,0.3684937357902527,-0.025217197835445404
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.07375572621822357,0.07375572621822357,0.0002007411967497319,0.3346763849258423,-0.024684300646185875,0.30365774035453796,-0.022396497428417206,0.361665815114975,-0.026674924418330193
