side_label_name,window_count_mean,window_count_std,free_coeff_l0_mean,free_coeff_l0_std,free_coeff_l1_mean,free_coeff_l1_std,side_coeff_mean,side_coeff_std,free_l0_entropy_mean,free_l0_entropy_std,free_l1_entropy_mean,free_l1_entropy_std,side_entropy_mean,side_entropy_std,basis_usage_b5_mean,basis_usage_b5_std,basis_usage_b6_mean,basis_usage_b6_std,basis_usage_b8_mean,basis_usage_b8_std,basis_usage_b9_mean,basis_usage_b9_std,basis_usage_b10_mean,basis_usage_b10_std,basis_activation_b9_mean,basis_activation_b9_std,basis_activation_b10_mean,basis_activation_b10_std,num_patients
Left,1.5263157894736843,1.483003117196331,0.1306230872869491,0.0,0.964718809984033,0.03617892241058855,0.6201696967776498,4.310246032557994,0.5249075386517081,2.2204460492503132e-17,1.4860431042618316,0.038408218045513094,0.5892544857880178,0.1854140911410708,0.2888456583023071,0.0,0.1101817265285199,0.056496875156958594,0.779195219098451,0.09769811963452851,0.1784935200838613,0.04866886648353471,0.04231126517215047,0.057412634841911156,3.481738481636384,2.2697074659878838,-0.09832695867275108,0.5581895521653342,76
Normal,2.1237113402061856,2.3419086409324827,0.1306230872869491,0.0,0.9542233886855664,0.04169830154475356,5.581115693830779,4.49402597252746,0.5249075386517081,1.1331166295920986e-17,1.491125888329292,0.039536434464710085,0.9408697576009873,0.14965258186184335,0.2872326885609282,0.009455652391910145,0.13154964861106944,0.06894758941951902,0.5354741709372757,0.1287191346355163,0.28775841063012775,0.06508910587161934,0.1767674153394772,0.10750275705885996,9.138513795577863,5.415864164863675,-4.430834153268549,8.221035664996773,97
Right,1.3617021276595744,1.2430543706461603,0.1306230872869491,0.0,0.9712020808500601,0.029585416080206275,-5.553158743136582,5.63398929039167,0.5249075386517081,1.1512476469137947e-17,1.4775301938590604,0.04441611571666974,0.7202507289767607,0.1657460658923174,0.2796271798458505,0.051043655206421186,0.11192290478564322,0.06382564157435046,0.6456040584061726,0.09918762565736476,0.05207380615317082,0.09223382655059861,0.30232214005333735,0.05316606816896293,0.5362079740924118,1.91337161276583,-35.49008247251501,21.811661900833126,94
