group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2,usage_b3,rep_b3
IMR:00235:x:group000,00235,IMR,0,1,Normal,-40.11695098876953,40.11695098876953,0.2619103789329529,0.28714242577552795,-11.519278526306152,0.004047991242259741,-0.16239306330680847,0.34588807821273804,-13.875974655151367,0.3629215657711029,-14.559307098388672
IMR:00241:x:group001,00241,IMR,0,1,Normal,-30.332563400268555,30.332563400268555,0.19664038717746735,0.22557193040847778,-6.842175006866455,0.011782786808907986,-0.35740211606025696,0.4344113767147064,-13.176810264587402,0.32823386788368225,-9.956174850463867
IMR:00242:x:group002,00242,IMR,0,1,Normal,-32.335819244384766,32.335819244384766,0.20794427394866943,0.41169485449790955,-11.974664688110352,0.017981821671128273,-0.506912350654602,0.29025787115097046,-10.17875862121582,0.2800654470920563,-9.675483703613281
IMR:00244:x:group003,00244,IMR,0,1,Normal,-44.30599594116211,44.30599594116211,0.29347512125968933,0.1952408254146576,-8.650339126586914,0.001813398557715118,-0.08034443110227585,0.391431987285614,-17.342784881591797,0.4115137755870819,-18.232526779174805
IMR:00245:x:group004,00245,IMR,0,1,Normal,-52.0177116394043,52.0177116394043,0.3453002870082855,0.1937364935874939,-10.077729225158691,0.000750480277929455,-0.039038266986608505,0.3963853418827057,-20.61905860900879,0.40912771224975586,-21.28188705444336
IMR:00251:x:group005,00251,IMR,0,1,Normal,-40.72355651855469,40.72355651855469,0.2711871564388275,0.15173538029193878,-6.17920446395874,0.0021727532148361206,-0.08848223835229874,0.4212772846221924,-17.155908584594727,0.4248145818710327,-17.29996109008789
IMR:00256:x:group006,00256,IMR,0,1,Normal,-54.789390563964844,54.789390563964844,0.36069777607917786,0.2640680968761444,-14.468130111694336,0.0007441116613335907,-0.04076942428946495,0.3617219030857086,-19.818523406982422,0.373465895652771,-20.46196937561035
IMR:00271:x:group007,00271,IMR,0,1,Normal,-69.1958999633789,69.1958999633789,0.448075532913208,0.5358926653862,-37.081573486328125,0.0003087818913627416,-0.021366441622376442,0.2279001772403717,-15.769758224487305,0.23589831590652466,-16.323196411132812
IMR:00281:x:group008,00281,IMR,0,2,Right,43.949066162109375,43.949066162109375,0.28723761439323425,0.023484215140342712,1.0321093797683716,0.9759535789489746,42.892250061035156,0.0005036800284869969,0.02213626727461815,5.8498237194726244e-05,0.0025709429755806923
IMR:00295:x:group009,00295,IMR,0,2,Right,49.389156341552734,49.389156341552734,0.3257826268672943,0.01769789680838585,0.8740841746330261,0.9820891618728638,48.504554748535156,0.000200608279556036,0.009907873347401619,1.226648691954324e-05,0.0006058314465917647
IMR:00299:x:group010,00299,IMR,0,2,Right,30.3221492767334,30.3221492767334,0.18465575575828552,0.06450609862804413,1.9559634923934937,0.9304466247558594,28.21314239501953,0.004134548828005791,0.1253684014081955,0.0009127299417741597,0.02767593413591385
IMR:00301:x:group011,00301,IMR,0,0,Left,-48.673667907714844,48.673667907714844,0.31706923246383667,0.8447667360305786,-41.117897033691406,0.003974638879299164,-0.19346025586128235,0.07196883112192154,-3.5029869079589844,0.07928977906703949,-3.8593244552612305
IMR:00305:x:group012,00305,IMR,0,0,Left,-39.191898345947266,39.191898345947266,0.2513468563556671,0.7805551290512085,-30.5914363861084,0.010175397619605064,-0.39879316091537476,0.09793566912412643,-3.838284730911255,0.11133383959531784,-4.36338472366333
IMR:00310:x:group014,00310,IMR,0,0,Left,-61.13336181640625,61.13336181640625,0.39944323897361755,0.8309204578399658,-50.79696273803711,0.0010356658603996038,-0.06331373751163483,0.08212175965309143,-5.020379066467285,0.08592209964990616,-5.252707004547119
IMR:00312:x:group015,00312,IMR,0,0,Left,-74.53816223144531,74.53816223144531,0.4967106878757477,0.9786898493766785,-72.94974517822266,0.00025682602426968515,-0.01914333924651146,0.009507513605058193,-0.7086725831031799,0.011545924469828606,-0.8606119751930237
IMR:00321:x:group016,00321,IMR,0,0,Left,-68.5680160522461,68.5680160522461,0.4554567337036133,0.9596700072288513,-65.80266571044922,0.0005165271577425301,-0.03541724383831024,0.01835314929485321,-1.258439064025879,0.021460356190800667,-1.4714940786361694
IMR:00323:x:group017,00323,IMR,0,0,Left,-48.91850280761719,48.91850280761719,0.31690821051597595,0.7769319415092468,-38.00634765625,0.003564204555004835,-0.17435555160045624,0.10489936172962189,-5.131519794464111,0.11460456252098083,-5.606283664703369
IMR:00327:x:group018,00327,IMR,0,2,Right,-13.076706886291504,13.076706886291504,0.07243773341178894,0.38917163014411926,-5.089083194732666,0.08733756840229034,-1.1420878171920776,0.3544534742832184,-4.63508415222168,0.1690373569726944,-2.210452079772949
IMR:00330:x:group019,00330,IMR,0,2,Right,56.83271408081055,56.83271408081055,0.37822937965393066,0.011833871714770794,0.6725510358810425,0.9880887866020203,56.15576934814453,7.446643576258793e-05,0.004232129547744989,2.9966761303512612e-06,0.0001703092420939356
IMR:00337:x:group020,00337,IMR,0,2,Right,63.37840270996094,63.37840270996094,0.424587219953537,0.007392997853457928,0.46855640411376953,0.992580235004425,62.90814971923828,2.59725366049679e-05,0.0016460978658869863,6.652869046774867e-07,4.2164821934420615e-05
IMR:00338:x:group021,00338,IMR,0,2,Right,53.346126556396484,53.346126556396484,0.3514840006828308,0.018524209037423134,0.9881948232650757,0.98130863904953,52.34901428222656,0.0001597485097590834,0.008521963842213154,7.353134606091771e-06,0.0003922612522728741
IMR:00341:x:group022,00341,IMR,0,2,Right,-36.444602966308594,36.444602966308594,0.24017710983753204,0.19855941832065582,-7.236419200897217,0.004374469630420208,-0.15942580997943878,0.3915071487426758,-14.268322944641113,0.4055589437484741,-14.780434608459473
IMR:00343:x:group023,00343,IMR,0,2,Right,45.056114196777344,45.056114196777344,0.29095953702926636,0.031538162380456924,1.4209870100021362,0.9678902626037598,43.609375,0.0005314138834364712,0.023943444713950157,4.0173312299884856e-05,0.001810053363442421
IMR:00344:x:group024,00344,IMR,0,2,Right,49.65730285644531,49.65730285644531,0.33028972148895264,0.012145829387009144,0.6031291484832764,0.9877192974090576,49.04747772216797,0.00012684415560215712,0.006298738531768322,8.071440788626205e-06,0.00040080599137581885
IMR:00345:x:group025,00345,IMR,0,2,Right,-19.251911163330078,19.251911163330078,0.11453307420015335,0.43704068660736084,-8.41386890411377,0.05029003694653511,-0.9681793451309204,0.3972787857055664,-7.648375988006592,0.11539053171873093,-2.2214882373809814
IMR:00346:x:group026,00346,IMR,0,2,Right,52.472312927246094,52.472312927246094,0.3488413095474243,0.012509714812040329,0.6564136743545532,0.9873780608177185,51.81000900268555,0.00010652586934156716,0.005589658860117197,5.646445060847327e-06,0.0002962820290122181
IMR:00350:x:group027,00350,IMR,0,1,Normal,-20.146297454833984,20.146297454833984,0.1271160989999771,0.19771385192871094,-3.9832019805908203,0.028305359184741974,-0.5702481865882874,0.4845282733440399,-9.76145076751709,0.28945252299308777,-5.831396579742432
IMR:00351:x:group028,00351,IMR,0,1,Normal,-49.51306915283203,49.51306915283203,0.3194274604320526,0.5099766850471497,-25.250511169433594,0.002705506980419159,-0.13395795226097107,0.23190279304981232,-11.482218742370605,0.2554149031639099,-12.64637565612793
IMR:00352:x:group029,00352,IMR,0,1,Normal,-29.21051597595215,29.21051597595215,0.19078868627548218,0.18315376341342926,-5.350016117095947,0.010560792870819569,-0.3084862232208252,0.4562891721725464,-13.328442573547363,0.3499962389469147,-10.223570823669434
IMR:00369:x:group030,00369,IMR,0,0,Left,-20.885112762451172,20.885112762451172,0.12140952795743942,0.6812529563903809,-14.228044509887695,0.06529508531093597,-1.3636952638626099,0.12530964612960815,-2.6171061992645264,0.1281423717737198,-2.6762678623199463
IMR:00370:x:group031,00370,IMR,0,0,Left,-62.00489807128906,62.00489807128906,0.4100154936313629,0.9330620169639587,-57.85441589355469,0.0010410095565021038,-0.06454768776893616,0.03059011697769165,-1.8967370986938477,0.03530682995915413,-2.1891963481903076
IMR:00373:x:group032,00373,IMR,0,2,Right,48.15565490722656,48.15565490722656,0.3175126016139984,0.017939984798431396,0.8639116883277893,0.9818130731582642,47.279850006103516,0.0002306707319803536,0.011108100414276123,1.6313220839947462e-05,0.0007855738513171673
IMR:00380:x:group033,00380,IMR,0,1,Normal,-38.45911407470703,38.45911407470703,0.25706982612609863,0.12379578500986099,-4.7610764503479,0.002348651411011815,-0.09032705426216125,0.4400489330291748,-16.923892974853516,0.4338066577911377,-16.683818817138672
IMR:00381:x:group034,00381,IMR,0,1,Normal,-8.895971298217773,8.895971298217773,0.04481419920921326,0.3493680953979492,-3.10796856880188,0.13230256736278534,-1.1769598722457886,0.2494405210018158,-2.219015598297119,0.26888880133628845,-2.3920271396636963
IMR:00386:x:group035,00386,IMR,0,0,Left,-60.18363571166992,60.18363571166992,0.38915523886680603,0.6349273324012756,-38.21223449707031,0.0009550194372422993,-0.05747654289007187,0.17566730082035065,-10.572297096252441,0.18845033645629883,-11.341626167297363
IMR:00389:x:group036,00389,IMR,0,2,Right,28.891159057617188,28.891159057617188,0.16902154684066772,0.08474176377058029,2.4482877254486084,0.9058436751365662,26.170873641967773,0.007468286901712418,0.21576745808124542,0.0019463704666122794,0.05623289942741394
IMR:00396:x:group037,00396,IMR,0,2,Right,47.28586959838867,47.28586959838867,0.3093741536140442,0.02304316684603691,1.0896161794662476,0.9766130447387695,46.179996490478516,0.0003212713054381311,0.015191593207418919,2.2512384020956233e-05,0.0010645176516845822
IMR:00402:x:group038,00402,IMR,0,0,Left,-67.74559783935547,67.74559783935547,0.4497423470020294,0.9562529921531677,-64.78192901611328,0.0005642807227559388,-0.03822753578424454,0.020070720463991165,-1.3597029447555542,0.02311195619404316,-1.5657333135604858
IMR:00406:x:group039,00406,IMR,0,2,Right,13.099945068359375,13.099945068359375,0.04381581023335457,0.2134796679019928,2.796571969985962,0.631951093673706,8.278524398803711,0.0807749330997467,1.0581471920013428,0.07379429787397385,0.9667012691497803
IMR:00412:x:group040,00412,IMR,0,1,Normal,-74.47103118896484,74.47103118896484,0.4821208715438843,0.6159337162971497,-45.86922073364258,0.00020087043230887502,-0.014959027990698814,0.19183245301246643,-14.28596019744873,0.19203293323516846,-14.300890922546387
IMR:00512:x:group041,00512,IMR,0,2,Right,45.13578414916992,45.13578414916992,0.2959230840206146,0.02159631811082363,0.974766731262207,0.9780265688896179,44.14399719238281,0.00034876083373092115,0.01574159413576126,2.8389702492859215e-05,0.0012813914800062776
IMR:00514:x:group042,00514,IMR,0,2,Right,39.465938568115234,39.465938568115234,0.2518557906150818,0.03867534548044205,1.5263588428497314,0.9601391553878784,37.892791748046875,0.0010615813080221415,0.04189630225300789,0.000123952268040739,0.004891892429441214
IMR:00521:x:group043,00521,IMR,0,2,Right,40.889957427978516,40.889957427978516,0.2624637484550476,0.034730952233076096,1.420147180557251,0.9640244245529175,39.41891860961914,0.0010914199519902468,0.044628117233514786,0.00015320935926865786,0.006264724303036928
IMR:00551:x:group044,00551,IMR,0,1,Normal,-43.22142028808594,43.22142028808594,0.28813114762306213,0.15094952285289764,-6.524252891540527,0.0016413697740063071,-0.07094233483076096,0.4208528697490692,-18.18985939025879,0.42655622959136963,-18.436365127563477
TT:740525:x:group000,740525,TT,1,1,Normal,-7.144618511199951,7.144618511199951,0.08853322267532349,0.4864780008792877,-7.92945671081543,0.2511952817440033,1.751275658607483,0.13946065306663513,-0.3148071765899658,0.12286609411239624,-0.6516302227973938
TT:844753:x:group001,844753,TT,1,1,Normal,-7.972963809967041,7.972963809967041,0.0975656732916832,0.28644248843193054,-0.8992424011230469,0.23375540971755981,1.8088793754577637,0.2454773187637329,-4.173515796661377,0.23432476818561554,-4.709085464477539
TT:845408:x:group002,845408,TT,1,2,Right,-16.5053653717041,16.5053653717041,0.12596380710601807,0.34834325313568115,-6.5203962326049805,0.15134987235069275,0.4814450442790985,0.25023362040519714,-5.052889347076416,0.2500731945037842,-5.413524627685547
TT:847397:x:group003,847397,TT,1,0,Left,0.7116369009017944,0.7116369009017944,0.027373867109417915,0.3120970129966736,-0.03509189188480377,0.2700961232185364,1.186830997467041,0.20861096680164337,-0.18177369236946106,0.20919594168663025,-0.25832849740982056
TT:847397:x:group004,847397,TT,1,0,Left,-57.82902526855469,57.82902526855469,0.3782885670661926,0.3344910740852356,-19.343292236328125,0.0006750987959094346,-0.039040304720401764,0.3296089470386505,-19.060964584350586,0.33522486686706543,-19.385726928710938
TT:850823:x:group005,850823,TT,1,1,Normal,5.70888090133667,5.70888090133667,0.029039157554507256,0.33374452590942383,2.1446313858032227,0.33600303530693054,2.8323872089385986,0.17859810590744019,0.5777198672294617,0.1516544073820114,0.1541425734758377
TT:850830:x:group006,850830,TT,1,0,Left,0.8059735298156738,0.8059735298156738,0.022341955453157425,0.32032617926597595,0.44074124097824097,0.22793759405612946,0.5650337934494019,0.23085513710975647,-0.006714582443237305,0.22088104486465454,-0.19308683276176453
TT:851367:x:group007,851367,TT,1,0,Left,-11.663259506225586,11.663259506225586,0.08565441519021988,0.40872955322265625,-6.045007705688477,0.16034933924674988,0.084174245595932,0.21722637116909027,-2.7448348999023438,0.21369469165802002,-2.9575917720794678
TT:851367:x:group008,851367,TT,1,0,Left,-9.879667282104492,9.879667282104492,0.08669852465391159,0.36608242988586426,-5.941677570343018,0.19576507806777954,0.6384999752044678,0.22083833813667297,-2.193763256072998,0.21731416881084442,-2.3827264308929443
TT:851367:x:group009,851367,TT,1,0,Left,-20.428020477294922,20.428020477294922,0.11970645189285278,0.4350096583366394,-8.886385917663574,0.05679349973797798,-1.160178780555725,0.26550301909446716,-5.423701286315918,0.24269387125968933,-4.9577555656433105
TT:861649:x:group010,861649,TT,1,1,Normal,-10.988476753234863,10.988476753234863,0.0852816253900528,0.3874872922897339,-5.303594589233398,0.16202270984649658,0.15052993595600128,0.2236834317445755,-2.7954514026641846,0.22680658102035522,-3.0399603843688965
