0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,-0.42535555,-0.42535555,-0.4039101,-0.4039101,-0.40391016,-0.42535555,-0.4253555,-1.8161474e-11,0.0,0.1633327,0.1633327,0.16379696,0.1633327,0.1633327,0.0
-0.42535555,0.0,0.0,0.021445453,0.021445453,0.021445394,0.0,0.0,0.0,0.0,0.19054967,0.33806688,0.3385312,0.33806688,0.19054967,0.0
-0.42535555,0.0,0.0,0.021445453,0.021445453,0.021445394,0.0,0.00572069,0.18045485,0.1887343,0.34378755,0.34378755,0.3442518,0.34378755,0.34378755,0.1887343
-0.4039101,0.021445453,0.021445453,0.0,0.0,0.0,0.0,0.005720705,0.18045485,0.33443612,0.34378755,0.34378755,0.34425175,0.34378755,0.34378755,0.33443612
-0.4039101,0.021445453,0.021445453,0.0,0.0,0.00019925833,0.00019925833,0.0059199333,0.18065411,0.33463538,0.3439868,0.3439868,0.34445107,0.3439868,0.3439868,0.33463544
-0.40391016,0.021445394,0.021445394,0.0,0.00019925833,0.0,0.0,0.005720675,0.18045485,0.33443612,0.34378755,0.34378755,0.3442518,0.34378755,0.34378755,0.33443606
-0.42535555,0.0,0.0,0.0,0.00019925833,0.0,0.0,0.00572069,0.18045485,0.1887343,0.34378755,0.34378755,0.3442518,0.34378755,0.34378755,0.1887343
-0.4253555,0.0,0.00572069,0.005720705,0.0059199333,0.005720675,0.00572069,0.0,0.0,0.0,0.19054967,0.33806688,0.33853114,0.33806682,0.19054967,0.0
-1.8161474e-11,0.0,0.18045485,0.18045485,0.18065411,0.18045485,0.18045485,0.0,0.0,0.0,0.1633327,0.1633327,0.16379696,0.1633327,0.1633327,0.0
0.0,0.0,0.1887343,0.33443612,0.33463538,0.33443612,0.1887343,0.0,0.0,0.0,0.009351447,0.009351432,0.009815693,0.009351462,0.009351447,0.0
0.1633327,0.19054967,0.34378755,0.34378755,0.3439868,0.34378755,0.34378755,0.19054967,0.1633327,0.009351447,0.0,0.0,0.00046426058,0.0,0.0,0.0
0.1633327,0.33806688,0.34378755,0.34378755,0.3439868,0.34378755,0.34378755,0.33806688,0.1633327,0.009351432,0.0,0.0,0.00046426058,0.0,0.018651843,0.018651843
0.16379696,0.3385312,0.3442518,0.34425175,0.34445107,0.3442518,0.3442518,0.33853114,0.16379696,0.009815693,0.00046426058,0.00046426058,0.0,0.0,0.018651903,0.018651903
0.1633327,0.33806688,0.34378755,0.34378755,0.3439868,0.34378755,0.34378755,0.33806682,0.1633327,0.009351462,0.0,0.0,0.0,0.0,0.018651903,0.018651903
0.1633327,0.19054967,0.34378755,0.34378755,0.3439868,0.34378755,0.34378755,0.19054967,0.1633327,0.009351447,0.0,0.018651843,0.018651903,0.018651903,0.0,0.0
0.0,0.0,0.1887343,0.33443612,0.33463544,0.33443606,0.1887343,0.0,0.0,0.0,0.0,0.018651843,0.018651903,0.018651903,0.0,0.0
