group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-0.12864091992378235,0.12864091992378235,0.00026371717103756964,0.32946616411209106,-0.04238282889127731,0.3277676999568939,-0.042164336889982224,0.3427662253379822,-0.04409376159310341
IMR:00241:x:group001,00241,IMR,0,1,Normal,-0.15294086933135986,0.15294086933135986,0.0003132664132863283,0.3242858648300171,-0.04959656298160553,0.3314926028251648,-0.050698768347501755,0.34422147274017334,-0.05264553055167198
IMR:00242:x:group002,00242,IMR,0,1,Normal,-0.11745090782642365,0.11745090782642365,0.00024074147222563624,0.3300691843032837,-0.038569942116737366,0.32733452320098877,-0.03858751803636551,0.34259629249572754,-0.04029344767332077
IMR:00244:x:group003,00244,IMR,0,1,Normal,-0.1510116457939148,0.1510116457939148,0.0003094928397331387,0.3278060257434845,-0.049502529203891754,0.3307936489582062,-0.04995369166135788,0.3414004147052765,-0.051555439829826355
IMR:00245:x:group004,00245,IMR,0,1,Normal,-0.15905331075191498,0.15905331075191498,0.00032581426785327494,0.32480064034461975,-0.05166061595082283,0.3317953944206238,-0.05277315527200699,0.3434039354324341,-0.05461953207850456
IMR:00251:x:group005,00251,IMR,0,1,Normal,-0.1495092809200287,0.1495092809200287,0.0003063555050175637,0.32665374875068665,-0.04883776605129242,0.33060523867607117,-0.0494285523891449,0.3427410125732422,-0.05124296247959137
IMR:00256:x:group006,00256,IMR,0,1,Normal,-0.14491263031959534,0.14491263031959534,0.00029700950835831463,0.3281465172767639,-0.047552574425935745,0.3300084173679352,-0.047822386026382446,0.3418450355529785,-0.04953766241669655
IMR:00271:x:group007,00271,IMR,0,1,Normal,-0.12954385578632355,0.12954385578632355,0.00026564489235170186,0.33118095993995667,-0.04290245845913887,0.32808947563171387,-0.04250197485089302,0.34072956442832947,-0.044139422476291656
IMR:00281:x:group008,00281,IMR,0,2,Right,-0.151503324508667,0.151503324508667,0.0003103346098214388,0.32453790307044983,-0.04916857182979584,0.33140021562576294,-0.050208233296871185,0.34406179189682007,-0.052126504480838776
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.13667219877243042,0.13667219877243042,0.000280248059425503,0.33077603578567505,-0.04520788788795471,0.3251391351222992,-0.044437479227781296,0.344084769487381,-0.04702682048082352
IMR:00299:x:group010,00299,IMR,0,2,Right,-0.14823473989963531,0.14823473989963531,0.0003036838606931269,0.32548171281814575,-0.048247698694467545,0.3279174566268921,-0.04860875755548477,0.34660083055496216,-0.051378283649683
IMR:00301:x:group011,00301,IMR,0,0,Left,-0.022482886910438538,0.022482886910438538,4.63002324977424e-05,0.353669136762619,-0.007951503619551659,0.31132128834724426,-0.0069994013756513596,0.3350096046924591,-0.007531982846558094
IMR:00305:x:group012,00305,IMR,0,0,Left,-0.013202410191297531,0.013202410191297531,2.7194513677386567e-05,0.3546382188796997,-0.0046820794232189655,0.310203492641449,-0.004095433745533228,0.33515825867652893,-0.004424897022545338
IMR:00310:x:group014,00310,IMR,0,0,Left,-0.04086440056562424,0.04086440056562424,8.409277506871149e-05,0.35004112124443054,-0.01430422067642212,0.3133357763290405,-0.01280427910387516,0.33662307262420654,-0.013755899854004383
