basis_index,fro_norm,l1_sum,mean_abs,max_abs,swap_cosine,swap_delta_l1_mean,diag_block_mass_ratio,offdiag_block_mass_ratio,around_left_left_mass_ratio,around_right_right_mass_ratio,mouth_left_left_mass_ratio,mouth_right_right_mass_ratio,around_lr_cross_mass_ratio,mouth_lr_cross_mass_ratio,around_to_mouth_mass_ratio
0,0.9999996423721313,94.71897888183594,0.006688721012324095,0.02096518501639366,0.6204913854598999,0.005761637352406979,0.1472231391637694,0.8527769186243043,0.016004417354210116,0.017079142469010006,0.06890709516448741,0.04523248417606185,0.07445133835637414,0.3082192126686053,0.4701063675993248
1,1.0000001192092896,95.90182495117188,0.006772249471396208,0.020761119201779366,0.1314283162355423,0.0089348666369915,0.13319917574078605,0.8668007744335555,0.012040887395399553,0.014968261296888127,0.024622427731177943,0.08156759931732042,0.058654587837808705,0.24557012287929356,0.5625760637164532
2,0.9999998211860657,97.1832275390625,0.006862737704068422,0.017910722643136978,0.8150358200073242,0.003964827861636877,0.14542119174394674,0.8545788216462464,0.01132804158699577,0.015116068798491684,0.05085987791908753,0.06811720343937176,0.08632916273252055,0.3030876903440679,0.46516196856965797
3,0.9999998807907104,97.45073699951172,0.006881628185510635,0.020095234736800194,0.7682462930679321,0.004444191697984934,0.145688540490174,0.8543115034451985,0.011578800635745979,0.014513396765597807,0.046777200185945084,0.07281914290288512,0.08066246521247677,0.304076124857557,0.4695729133751647
