task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
side_from_side_rep,0,234,59,0.8983050847457628,0.8957219251336898,0.8963178294573643
side_from_side_rep,1,235,58,0.9310344827586207,0.9282446311858076,0.9315476190476191
side_from_side_rep,2,235,58,0.9482758620689655,0.9530303030303031,0.9478524743230626
side_from_side_rep,3,234,59,0.9322033898305084,0.9215686274509803,0.9249999999999999
side_from_side_rep,4,234,59,0.9322033898305084,0.9271739130434783,0.9315389924085576
side_from_free_rep,0,234,59,0.5254237288135594,0.49830659536541894,0.4617196220969806
side_from_free_rep,1,235,58,0.3620689655172414,0.34262371615312787,0.3114796614796615
side_from_free_rep,2,235,58,0.5,0.46174242424242423,0.41383647798742135
side_from_free_rep,3,234,59,0.4745762711864407,0.44241037376048814,0.37229437229437234
side_from_free_rep,4,234,59,0.4915254237288136,0.45489130434782615,0.4138089278264497
dataset_from_side_rep,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_side_rep,1,235,58,0.7586206896551724,0.5162393162393163,0.4925
dataset_from_side_rep,2,235,58,0.7931034482758621,0.5384615384615384,0.5126050420168067
dataset_from_side_rep,3,234,59,0.7966101694915254,0.5384615384615384,0.5137362637362637
dataset_from_side_rep,4,234,59,0.7288135593220338,0.5501672240802675,0.553030303030303
dataset_from_free_rep,0,234,59,0.7627118644067796,0.5994983277591973,0.6089015151515151
dataset_from_free_rep,1,235,58,0.8103448275862069,0.6863247863247863,0.7017297802711547
dataset_from_free_rep,2,235,58,0.8275862068965517,0.6153846153846154,0.6375
dataset_from_free_rep,3,234,59,0.7627118644067796,0.6270903010033445,0.6338652482269503
dataset_from_free_rep,4,234,59,0.8305084745762712,0.6981605351170569,0.7206439393939394
dataset_from_private_rep,0,234,59,0.8135593220338984,0.7424749163879598,0.7358567358567359
dataset_from_private_rep,1,235,58,0.8620689655172413,0.8017094017094017,0.8017094017094017
dataset_from_private_rep,2,235,58,0.9137931034482759,0.8076923076923077,0.8546365914786969
dataset_from_private_rep,3,234,59,0.8983050847457628,0.7968227424749164,0.8323863636363638
dataset_from_private_rep,4,234,59,0.9322033898305084,0.9013377926421404,0.9013377926421404
side_from_usage,0,234,59,0.8813559322033898,0.8835115864527628,0.8801587301587301
side_from_usage,1,235,58,0.9482758620689655,0.9507936507936509,0.9480646059593427
side_from_usage,2,235,58,0.9310344827586207,0.9363636363636364,0.9339549339549341
side_from_usage,3,234,59,0.9322033898305084,0.9236326109391125,0.9297899125694419
side_from_usage,4,234,59,0.9491525423728814,0.9521739130434783,0.9530823786142936
side_from_coeff,0,234,59,0.9152542372881356,0.9153297682709448,0.9171176046176046
side_from_coeff,1,235,58,0.9310344827586207,0.9253034547152194,0.9293088238800277
side_from_coeff,2,235,58,0.9655172413793104,0.9696969696969697,0.9658958927251611
side_from_coeff,3,234,59,0.9152542372881356,0.9019607843137255,0.9036905053045917
side_from_coeff,4,234,59,0.9491525423728814,0.9480072463768116,0.9503643143023295
side_from_usage_coeff,0,234,59,0.8983050847457628,0.8986631016042782,0.8969545957918051
side_from_usage_coeff,1,235,58,0.9655172413793104,0.9666666666666667,0.9651803928425716
side_from_usage_coeff,2,235,58,0.9310344827586207,0.9363636363636364,0.9314953172682312
side_from_usage_coeff,3,234,59,0.9491525423728814,0.9411764705882352,0.9453060380479735
side_from_usage_coeff,4,234,59,0.9661016949152542,0.9688405797101449,0.9688405797101449
dataset_from_usage,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,0,234,59,0.7627118644067796,0.4891304347826087,0.4326923076923077
dataset_from_usage_coeff,1,235,58,0.7931034482758621,0.5384615384615384,0.5126050420168067
dataset_from_usage_coeff,2,235,58,0.7586206896551724,0.4888888888888889,0.4313725490196078
dataset_from_usage_coeff,3,234,59,0.6610169491525424,0.42391304347826086,0.39795918367346944
dataset_from_usage_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
