group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-15.505084991455078,15.505084991455078,0.042577534914016724,0.02812269888818264,-0.436044842004776,0.5603583455085754,-8.688404083251953,0.41151896119117737,-6.380636692047119
IMR:00241:x:group001,00241,IMR,0,1,Normal,-3.0326616764068604,3.0326616764068604,0.008603118360042572,0.20300604403018951,-0.615648627281189,0.3797246217727661,-1.151576280593872,0.41726934909820557,-1.2654367685317993
IMR:00242:x:group002,00242,IMR,0,1,Normal,-2.2597544193267822,2.2597544193267822,0.04194436967372894,0.03520362824201584,-0.31151270866394043,0.2554836869239807,-2.840907573699951,0.7093126773834229,0.8926661014556885
IMR:00244:x:group003,00244,IMR,0,1,Normal,-17.029447555541992,17.029447555541992,0.04980188235640526,0.028747180476784706,-0.48954859375953674,0.5307701230049133,-9.038722038269043,0.4404827356338501,-7.501177787780762
IMR:00245:x:group004,00245,IMR,0,1,Normal,-24.076343536376953,24.076343536376953,0.07106312364339828,0.009765809401869774,-0.23512497544288635,0.5448422431945801,-13.117809295654297,0.445391982793808,-10.723410606384277
IMR:00251:x:group005,00251,IMR,0,1,Normal,-13.736170768737793,13.736170768737793,0.03991575166583061,0.04622884467244148,-0.6350073218345642,0.5170450210571289,-7.1022186279296875,0.4367261528968811,-5.998945236206055
IMR:00256:x:group006,00256,IMR,0,1,Normal,-20.605714797973633,20.605714797973633,0.05803452804684639,0.015585203655064106,-0.3211442530155182,0.5610536932945251,-11.560912132263184,0.42336103320121765,-8.72365665435791
IMR:00271:x:group007,00271,IMR,0,1,Normal,-18.99016571044922,18.99016571044922,0.05116918310523033,0.017332375049591064,-0.329144686460495,0.5791709423065186,-10.998552322387695,0.4034966230392456,-7.662467956542969
IMR:00281:x:group008,00281,IMR,0,2,Right,-0.06591328978538513,0.06591328978538513,0.00017323240172117949,0.3491889536380768,-0.02301619201898575,0.2752402722835541,-0.018141992390155792,0.37557074427604675,-0.024755103513598442
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.023928582668304443,0.023928582668304443,6.112614937592298e-05,0.33202627301216125,-0.007944918237626553,0.3033256232738495,-0.00725815212354064,0.36464813351631165,-0.008725512772798538
IMR:00299:x:group010,00299,IMR,0,2,Right,-0.06092866510152817,0.06092866510152817,0.0001551158056827262,0.34435418248176575,-0.020981039851903915,0.29307645559310913,-0.01785675808787346,0.36256930232048035,-0.022090863436460495
IMR:00301:x:group011,00301,IMR,0,0,Left,26.415157318115234,26.415157318115234,0.1697898656129837,2.9409426360871294e-07,7.768546311126556e-06,4.123633971175877e-06,0.00010892644058912992,0.9999955892562866,26.415040969848633
IMR:00305:x:group012,00305,IMR,0,0,Left,25.059951782226562,25.059951782226562,0.1610783189535141,6.552251647917728e-07,1.641991184442304e-05,7.796051249897573e-06,0.00019536867330316454,0.9999915361404419,25.05974006652832
