group_id,subject,dataset_name,dataset_label,side_label,side_label_name,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00235:x:group000,00235,IMR,0,1,Normal,-0.11654175817966461,0.11654175817966461,0.00024065918114501983,0.33431607484817505,-0.038961783051490784,0.3301786780357361,-0.038479603826999664,0.33550527691841125,-0.03910037502646446
IMR:00241:x:group001,00241,IMR,0,1,Normal,-0.12754786014556885,0.12754786014556885,0.000263305933913216,0.33255288004875183,-0.04241640865802765,0.3312529921531677,-0.0422506108880043,0.33619412779808044,-0.042880840599536896
IMR:00242:x:group002,00242,IMR,0,1,Normal,-0.09607607126235962,0.09607607126235962,0.00019844576308969408,0.33739107847213745,-0.03224620968103409,0.3273056447505951,-0.031593553721904755,0.33530324697494507,-0.03223629668354988
IMR:00244:x:group003,00244,IMR,0,1,Normal,-0.1289473921060562,0.1289473921060562,0.0002663293562363833,0.33534950017929077,-0.0432424433529377,0.33088210225105286,-0.04266638308763504,0.333768367767334,-0.043038561940193176
IMR:00245:x:group004,00245,IMR,0,1,Normal,-0.13969025015830994,0.13969025015830994,0.00028841104358434677,0.33324599266052246,-0.04655121639370918,0.3319218158721924,-0.046366240829229355,0.33483219146728516,-0.0467727929353714
IMR:00251:x:group005,00251,IMR,0,1,Normal,-0.13462921977043152,0.13462921977043152,0.00027797266375273466,0.3334813714027405,-0.044896338135004044,0.3316449224948883,-0.04464909806847572,0.3348737061023712,-0.04508378729224205
IMR:00256:x:group006,00256,IMR,0,1,Normal,-0.12991073727607727,0.12991073727607727,0.0002683246857486665,0.33547544479370117,-0.04358186200261116,0.3306557834148407,-0.04295573756098747,0.33386874198913574,-0.04337313398718834
IMR:00271:x:group007,00271,IMR,0,1,Normal,-0.12133065611124039,0.12133065611124039,0.00025066218222491443,0.3367902934551239,-0.04086298868060112,0.32989805936813354,-0.040026746690273285,0.33331161737442017,-0.040440917015075684
IMR:00281:x:group008,00281,IMR,0,2,Right,-0.12905393540859222,0.12905393540859222,0.00026640944997780025,0.3324132561683655,-0.042899239808321,0.3316004276275635,-0.04279433935880661,0.33598634600639343,-0.04336035996675491
IMR:00295:x:group009,00295,IMR,0,2,Right,-0.10625193268060684,0.10625193268060684,0.0002195653214585036,0.33845293521881104,-0.03596127778291702,0.32323306798934937,-0.0343441367149353,0.338314026594162,-0.03594651818275452
IMR:00299:x:group010,00299,IMR,0,2,Right,-0.12200815230607986,0.12200815230607986,0.00025188675499521196,0.3331473171710968,-0.040646687150001526,0.3270205855369568,-0.039899177849292755,0.33983203768730164,-0.04146227985620499
IMR:00301:x:group011,00301,IMR,0,0,Left,-0.024023156613111496,0.024023156613111496,4.9831931391963735e-05,0.3580530285835266,-0.008601563982665539,0.31317833065986633,-0.007523532025516033,0.32876867055892944,-0.007898061536252499
