basis_index,basis_name,global_std,global_mean
0,b0,0.011851945498661682,0.9563652922027667
1,b1,0.01185195713749933,0.04363471751781807
2,b4,0.003262944026597826,0.17792353497810068
3,b5,0.2850892733149438,0.6616182733133005
4,b6,0.2883522121625038,0.16045814412315781
5,b8,0.15188569613494898,0.13026862224788976
6,b9,0.1543029097884835,0.24177275732508693
7,b10,0.24202693055671892,0.6279586182315515
