label_5class,basis_usage_b0,basis_usage_b1,basis_usage_b4,basis_usage_b5,basis_usage_b6,basis_usage_b8,basis_usage_b9,basis_usage_b10
0,0.9530656405708247,0.046934372390081185,0.17759809159395987,0.6331837009965328,0.18921815930751332,0.007841919110027424,0.00970969906045057,0.9824483866492908
1,0.9564301143164624,0.043569895340465806,0.17766867929084557,0.6393510747075379,0.1829801980116612,0.013004128560597383,0.03398331917045104,0.95301255044483
2,0.9599789978683025,0.040021008303554,0.1775484288160291,0.6288445749938603,0.1936069480092904,0.03882529551791088,0.3776340984084086,0.5835406047878479
3,0.9578939567630491,0.04210605145635777,0.17827235115692017,0.6920949686318636,0.1296326331794262,0.30329407792209057,0.27904020210326047,0.41766571657111246
4,0.951905240689982,0.048094773410458924,0.178686027634742,0.7282386246334267,0.09307530135664034,0.3309372285477188,0.2795677016145803,0.3894950623153358
