label_5class,basis_i,basis_j,basis_i_name,basis_j_name,corr
0,0,0,b0,b0,0.9999999999999999
0,0,1,b0,b1,-1.0
0,0,2,b0,b4,-0.2585403745870364
0,0,3,b0,b5,-0.2585403745870371
0,0,4,b0,b6,0.25854037458703705
0,0,5,b0,b8,0.9861241714907595
0,0,6,b0,b9,0.9906919451518907
0,0,7,b0,b10,-0.9889341817741545
0,1,0,b1,b0,-1.0
0,1,1,b1,b1,1.0
0,1,2,b1,b4,0.2585403745870362
0,1,3,b1,b5,0.25854037458703705
0,1,4,b1,b6,-0.25854037458703727
0,1,5,b1,b8,-0.9861241714907598
0,1,6,b1,b9,-0.9906919451518913
0,1,7,b1,b10,0.9889341817741554
0,2,0,b4,b0,-0.2585403745870364
0,2,1,b4,b1,0.25854037458703616
0,2,2,b4,b4,0.9999999999999999
0,2,3,b4,b5,0.9999999999999997
0,2,4,b4,b6,-0.9999999999999998
0,2,5,b4,b8,-0.26118543089632956
0,2,6,b4,b9,-0.26960156925799295
0,2,7,b4,b10,0.26586260505518516
0,3,0,b5,b0,-0.2585403745870371
0,3,1,b5,b1,0.25854037458703705
0,3,2,b5,b4,0.9999999999999998
0,3,3,b5,b5,1.0
0,3,4,b5,b6,-0.9999999999999997
0,3,5,b5,b8,-0.26118543089633
0,3,6,b5,b9,-0.2696015692579935
0,3,7,b5,b10,0.26586260505518555
0,4,0,b6,b0,0.25854037458703705
0,4,1,b6,b1,-0.25854037458703727
0,4,2,b6,b4,-0.9999999999999999
0,4,3,b6,b5,-0.9999999999999997
0,4,4,b6,b6,1.0
0,4,5,b6,b8,0.26118543089633
0,4,6,b6,b9,0.26960156925799333
0,4,7,b6,b10,-0.26586260505518566
0,5,0,b8,b0,0.9861241714907595
0,5,1,b8,b1,-0.9861241714907598
0,5,2,b8,b4,-0.26118543089632956
0,5,3,b8,b5,-0.26118543089633
0,5,4,b8,b6,0.26118543089633
0,5,5,b8,b8,0.9999999999999999
0,5,6,b8,b9,0.9987034659860079
0,5,7,b8,b10,-0.9996140075067618
0,6,0,b9,b0,0.9906919451518906
0,6,1,b9,b1,-0.9906919451518913
0,6,2,b9,b4,-0.26960156925799295
0,6,3,b9,b5,-0.2696015692579935
0,6,4,b9,b6,0.26960156925799333
0,6,5,b9,b8,0.9987034659860079
0,6,6,b9,b9,1.0
